variant,terrain,path,bumpiness,seed,status,mean_u_window,max_cte_window,x_max_m,window_rows,sim_port,attempts
aggressive,clay,lane_change,0,400,ok,7.53462700729927,0.152052,88.579172,137,33250,1
aggressive,clay,lane_change,0,401,ok,7.545936496350364,0.157252,88.231083,137,33500,1
aggressive,clay,lane_change,0,402,ok,7.541810869565219,0.223646,88.424923,138,33750,1
aggressive,clay,lane_change,0,403,ok,7.547957746478873,0.173352,87.678126,142,34000,1
aggressive,clay,lane_change,0,404,ok,7.561132608695653,0.128245,87.857814,138,34250,1
aggressive,clay,lane_change,4,400,ok,7.5550661971830975,0.16363,87.255199,142,32500,1
aggressive,clay,lane_change,4,401,ok,7.540295683453238,0.164009,87.678879,139,32750,1
aggressive,clay,lane_change,4,402,ok,7.553672142857144,0.229031,87.766218,140,33000,1
aggressive,clay,lane_change,4,403,ok,7.543351181102362,0.132096,87.368095,127,33250,1
aggressive,clay,lane_change,4,404,ok,7.618217518248175,0.172906,87.728875,137,33500,1
aggressive,clay,lane_change,8,400,ok,7.280311188811188,0.199251,88.883818,143,33750,1
aggressive,clay,lane_change,8,401,ok,7.233874149659864,0.171346,89.619493,147,34000,1
aggressive,clay,lane_change,8,402,ok,7.253909090909091,0.150361,90.184426,143,34250,1
aggressive,clay,lane_change,8,403,ok,7.23856690140845,0.186409,89.637062,142,32500,1
aggressive,clay,lane_change,8,404,ok,7.230731818181818,0.192423,88.899527,132,32750,1
aggressive,clay,right_left,0,400,ok,6.228844983818771,5.771308,78.055413,309,33000,1
aggressive,clay,right_left,0,401,ok,6.234239931740615,5.93865,77.806894,293,33250,1
aggressive,clay,right_left,0,402,ok,6.077368813559322,6.512213,77.711273,295,33500,1
aggressive,clay,right_left,0,403,ok,6.244620890410959,5.843626,78.423306,292,33750,1
aggressive,clay,right_left,0,404,ok,6.141307667731629,6.072487,77.77488,313,34000,1
aggressive,clay,right_left,4,400,ok,6.010107284768212,6.195508,77.31279,302,34250,1
aggressive,clay,right_left,4,401,ok,6.139124115755627,6.067571,78.045949,311,32500,1
aggressive,clay,right_left,4,402,ok,6.154161073825503,6.200655,77.742662,298,32750,1
aggressive,clay,right_left,4,403,ok,6.079079016393442,5.943386,77.449361,305,33000,1
aggressive,clay,right_left,4,404,ok,6.060970491803278,6.232848,77.510769,305,33250,1
aggressive,clay,right_left,8,400,ok,6.172111660777385,5.521938,77.437454,283,33500,1
aggressive,clay,right_left,8,401,ok,6.169615492957746,5.748586,77.527451,284,33750,1
aggressive,clay,right_left,8,402,ok,5.918040625000001,4.811939,80.208805,320,34000,1
aggressive,clay,right_left,8,403,ok,6.217829963898917,5.448263,77.692734,277,34250,1
aggressive,clay,right_left,8,404,ok,6.146889700996678,5.2458,79.304637,301,32500,1
aggressive,clay,sinusoidal,0,400,ok,6.061642358078603,2.77149,159.357763,458,33500,1
aggressive,clay,sinusoidal,0,401,ok,5.993972222222222,2.74127,159.734151,468,33750,1
aggressive,clay,sinusoidal,0,402,ok,6.004490752688173,2.823413,159.421455,465,34000,1
aggressive,clay,sinusoidal,0,403,ok,6.071400932400933,2.868365,160.187035,429,34250,1
aggressive,clay,sinusoidal,0,404,ok,6.044548283261803,2.93038,159.633461,466,32500,1
aggressive,clay,sinusoidal,4,400,ok,6.1113615925058555,2.835067,159.992634,427,32750,1
aggressive,clay,sinusoidal,4,401,ok,6.015012958963283,2.574221,159.613123,463,33000,1
aggressive,clay,sinusoidal,4,402,ok,6.091691416309012,3.092927,159.543602,466,33250,1
aggressive,clay,sinusoidal,4,403,ok,6.170067328918322,2.827312,159.500115,453,33500,1
aggressive,clay,sinusoidal,4,404,ok,6.128283982683982,2.938799,159.678633,462,33750,1
aggressive,clay,sinusoidal,8,400,ok,5.999145533769063,3.398672,159.494435,459,34000,1
aggressive,clay,sinusoidal,8,401,ok,6.002840086206897,3.442313,160.03821,464,34250,1
aggressive,clay,sinusoidal,8,402,ok,5.945552192066806,3.099019,160.066432,479,32500,1
aggressive,clay,sinusoidal,8,403,ok,6.0025813953488365,3.558459,160.444143,473,32750,1
aggressive,clay,sinusoidal,8,404,ok,6.017260722347631,3.427189,160.290555,443,33000,1
aggressive,dirt,lane_change,0,400,ok,7.687908148148146,0.134364,81.566605,135,32500,1
aggressive,dirt,lane_change,0,401,ok,7.70961111111111,0.152961,81.328507,126,32750,1
aggressive,dirt,lane_change,0,402,ok,7.634697142857141,0.231263,80.890626,140,33000,1
aggressive,dirt,lane_change,0,403,ok,7.669552898550723,0.16049,81.604092,138,33250,1
aggressive,dirt,lane_change,0,404,ok,7.644252517985611,0.194891,81.887765,139,33500,1
aggressive,dirt,lane_change,4,400,ok,7.643056428571429,0.126442,82.27187,140,33750,1
aggressive,dirt,lane_change,4,401,ok,7.6369424460431645,0.164702,80.975812,139,34000,1
aggressive,dirt,lane_change,4,402,ok,7.57438951048951,0.225591,82.285498,143,34250,1
aggressive,dirt,lane_change,4,403,ok,7.611505797101449,0.138394,81.307618,138,32500,1
aggressive,dirt,lane_change,4,404,ok,7.646325735294118,0.185764,82.621327,136,32750,1
aggressive,dirt,lane_change,8,400,ok,7.2679728571428575,0.160023,84.167845,140,33000,1
aggressive,dirt,lane_change,8,401,ok,7.358423571428571,0.15843,83.4962,140,33250,1
aggressive,dirt,lane_change,8,402,ok,7.389051773049645,0.240542,84.02278,141,33500,1
aggressive,dirt,lane_change,8,403,ok,7.348201449275362,0.14197,83.819344,138,33750,1
aggressive,dirt,lane_change,8,404,ok,7.3239063829787225,0.229349,83.674912,141,34000,1
aggressive,dirt,right_left,0,400,ok,6.813362295081967,0.782066,74.847113,244,34250,1
aggressive,dirt,right_left,0,401,ok,4.798506133333333,0.34608,75.421978,375,32500,1
aggressive,dirt,right_left,0,402,ok,4.823977419354839,0.785752,74.883841,372,32750,1
aggressive,dirt,right_left,0,403,ok,6.473459057971015,0.955433,74.296052,276,33000,1
aggressive,dirt,right_left,0,404,ok,4.808326035502958,0.365687,75.137161,338,33250,1
aggressive,dirt,right_left,4,400,ok,5.3851760233918124,1.377368,74.791358,342,33500,1
aggressive,dirt,right_left,4,401,ok,5.223260766961651,0.461215,75.620071,339,33750,1
aggressive,dirt,right_left,4,402,ok,6.422842545454546,1.736028,74.573282,275,34000,1
aggressive,dirt,right_left,4,403,ok,6.4703371841155235,0.80216,74.513088,277,34250,1
aggressive,dirt,right_left,4,404,ok,4.7878384615384615,0.374606,75.175495,377,32500,1
aggressive,dirt,right_left,8,400,ok,6.544618587360595,0.935331,74.487032,269,32750,1
aggressive,dirt,right_left,8,401,ok,6.452316363636364,0.510329,74.088734,275,33000,1
aggressive,dirt,right_left,8,402,ok,6.576188,0.982736,74.494192,275,33250,1
aggressive,dirt,right_left,8,403,ok,6.564276512455517,0.807346,74.382768,281,33500,1
aggressive,dirt,right_left,8,404,ok,6.491955555555555,0.809922,74.220596,261,33750,1
aggressive,dirt,sinusoidal,0,400,ok,6.109203171247358,0.548149,155.199264,473,32750,1
aggressive,dirt,sinusoidal,0,401,ok,6.173897522522523,0.496636,155.62043,444,33000,1
aggressive,dirt,sinusoidal,0,402,ok,6.106295414847161,0.468074,154.947441,458,33250,1
aggressive,dirt,sinusoidal,0,403,ok,6.082664102564102,0.477156,155.050474,468,33500,1
aggressive,dirt,sinusoidal,0,404,ok,6.150911252653928,0.534275,155.597357,471,33750,1
aggressive,dirt,sinusoidal,4,400,ok,6.155013785557987,0.468724,155.070388,457,34000,1
aggressive,dirt,sinusoidal,4,401,ok,6.0724385744234795,0.445733,155.125058,477,34250,1
aggressive,dirt,sinusoidal,4,402,ok,6.046616452991453,0.459654,155.10312,468,32500,1
aggressive,dirt,sinusoidal,4,403,ok,6.104348085106383,0.400433,154.795466,470,32750,1
aggressive,dirt,sinusoidal,4,404,ok,6.041843133047211,0.412666,154.866767,466,33000,1
aggressive,dirt,sinusoidal,8,400,ok,6.08584330543933,0.541873,155.442379,478,33250,1
aggressive,dirt,sinusoidal,8,401,ok,6.166890376569039,0.582056,155.329175,478,33500,1
aggressive,dirt,sinusoidal,8,402,ok,6.156811538461539,0.585187,155.129237,468,33750,1
