variant,terrain,mean_u,mean_u_sd,max_cte,max_cte_sd,max_cte_worst,n
aggressive,clay,6.5429694238091844,0.6595047814559364,3.010659622222222,2.3575595220683216,6.512213,45
aggressive,dirt,6.5197482330843535,0.8723509642076231,0.49347284444444445,0.3396048768627337,1.736028,45
aggressive,sand,5.8367496005125705,0.32348528272420485,0.2271500888888889,0.057237801848088174,0.314039,45
conservative,clay,5.860704754093768,0.9106602052429491,0.2596598,0.11106824572871647,0.608045,45
conservative,dirt,5.761705435136402,0.923424337682059,0.21135204444444444,0.05067210183171244,0.296329,45
conservative,sand,5.333180324004704,0.4894300756130628,0.21253057777777778,0.06932677634333352,0.336466,45
grit,clay,6.016358647616859,0.9851695383511341,0.34101146666666665,0.21816694229321895,0.847339,45
grit,dirt,5.872083483021152,1.049516571530394,0.21070977777777777,0.05601135385790054,0.347051,45
grit,sand,5.659296818866929,0.35421184153303215,0.2099380888888889,0.06078150913978777,0.327217,45
oracle,clay,5.854521371217656,0.9081586392615179,0.25722855555555557,0.10616044116241219,0.540831,45
oracle,dirt,6.309994343958814,0.9260177803904617,0.2595076,0.07127171226669998,0.426488,45
oracle,sand,5.835152945474187,0.3204715104822157,0.23208022222222222,0.05707225305335209,0.395401,45
