experiment,phase,study_id,operator_id,input_device_model,block,repetition,pair_id,order_position,order_seed,filter,variant,delay_s,camera_delay_s,latency_profile,convoy,terrain,path,speed_mps,bumpiness,seed,run_dir,rc,wall_s,status,sim_diag_csv,collision_csv,shield_csv,sim_s,rt_factor,collisions,near_misses,collision_source,n_samples,rms_cte_m,max_abs_cte_m,mean_abs_cte_m,mean_speed_mps,speed_ratio,progress_m,final_x_m,final_y_m,min_clearance_m,goal_distance_m,goal_reached_log,reached_goal,clean_success,intervention_rate_pct,filter_solve_ms,mean_abs_dsteer,mean_abs_dthrottle,contact_run
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_seed910,0,20260719,none,none_delay0.00,0.0,0.0,5g_nhits_geforce,lead_brake,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0000_none_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0,0,25.404037475585938,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0000_none_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0000_none_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/collision_log.csv,,16.4,0.96,0,0,chrono_body_contact,161,0.06321020077765253,0.126105,0.048671435114503815,2.9301082824427485,0.5860216564885496,39.88001299977407,39.779613,-0.01944,1.626428,40.0,1,1,1,,,,,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_oncoming_5g_nhits_geforce_clay_straight_v5_b0_seed910,1,20260719,mpsf,mpsf_delay0.00,0.0,0.0,5g_nhits_geforce,oncoming,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0001_mpsf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0,0,22.047011375427246,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0001_mpsf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0001_mpsf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/collision_log.csv,,10.9,0.83,0,1,chrono_body_contact,108,1.3351719127132116,2.938598,0.7924515384615385,4.750506307692308,0.9501012615384615,40.34934653713987,40.070691,-2.875061,0.59795,40.0,1,1,1,48.6,1.089,,,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_stalled_5g_nhits_geforce_clay_straight_v5_b0_seed910,2,20260719,none,none_delay0.00,0.0,0.0,5g_nhits_geforce,stalled,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0002_none_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0,0,21.486313581466675,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0002_none_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0002_none_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0/collision_log.csv,,12.5,0.94,0,1,chrono_body_contact,123,2.5765235429316835,4.627898,1.9560639462365594,4.032423903225807,0.8064847806451614,41.217382373513615,39.899273,0.59761,0.246253,40.0,1,1,1,,,,,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_seed910,3,20260719,dob_cbf,dob_cbf_delay0.00,0.0,0.0,5g_nhits_geforce,lead_brake,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0003_dob_cbf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0,0,35.41014528274536,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0003_dob_cbf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0003_dob_cbf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/collision_log.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0003_dob_cbf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/cbf_filter_log.csv,25.0,0.93,0,0,chrono_body_contact,246,0.028121502614893188,0.038454,0.027531754629629628,0.00015406018518518527,3.0812037037037055e-05,0.31020816207192103,0.060705,0.036865,5.225939,40.0,0,0,0,100.0,,0.33615770750988144,0.5504466403162055,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_stalled_5g_nhits_geforce_clay_straight_v5_b0_seed910,4,20260719,dob_cbf,dob_cbf_delay0.00,0.0,0.0,5g_nhits_geforce,stalled,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0004_dob_cbf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0,0,35.165542125701904,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0004_dob_cbf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0004_dob_cbf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0/collision_log.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0004_dob_cbf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0/cbf_filter_log.csv,25.0,0.94,0,0,chrono_body_contact,246,0.019635122473658156,0.040963,0.01688437037037037,0.1330570972222222,0.02661141944444444,4.381342188054208,4.088963,-0.006739,8.125971,40.0,0,0,0,79.4,,0.4841461165048543,0.46670485436893205,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_cut_in_5g_nhits_geforce_clay_straight_v5_b0_seed910,5,20260719,none,none_delay0.00,0.0,0.0,5g_nhits_geforce,cut_in,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0005_none_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0,0,20.734184503555298,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0005_none_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0005_none_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0/collision_log.csv,,11.7,0.94,0,0,chrono_body_contact,115,0.151697910333973,0.221472,0.13708745882352938,4.389266317647058,0.8778532635294116,39.73424756549724,39.70731,-0.200718,3.93608,40.0,1,1,1,,,,,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_oncoming_5g_nhits_geforce_clay_straight_v5_b0_seed910,6,20260719,dob_cbf,dob_cbf_delay0.00,0.0,0.0,5g_nhits_geforce,oncoming,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0006_dob_cbf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0,0,22.29172158241272,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0006_dob_cbf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0006_dob_cbf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/collision_log.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0006_dob_cbf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/cbf_filter_log.csv,11.4,0.83,0,1,chrono_body_contact,112,0.6454391975505762,1.679329,0.421617756097561,4.545713292682927,0.9091426585365854,39.72854775159129,39.681234,-1.679329,0.243405,40.0,1,1,1,16.4,,0.10341752577319586,0.07605051546391753,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_seed910,7,20260719,mpsf,mpsf_delay0.00,0.0,0.0,5g_nhits_geforce,lead_brake,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0007_mpsf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0,0,35.3796706199646,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0007_mpsf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0007_mpsf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/collision_log.csv,,25.0,0.94,0,0,chrono_body_contact,246,0.7596530414967627,1.083271,0.6266000046296296,0.11383299537037038,0.022766599074074075,3.2239066680572703,2.461554,1.075005,2.908345,40.0,0,0,0,87.4,2.083,,,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_cut_in_5g_nhits_geforce_clay_straight_v5_b0_seed910,8,20260719,mpsf,mpsf_delay0.00,0.0,0.0,5g_nhits_geforce,cut_in,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0008_mpsf_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0,0,29.898865222930908,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0008_mpsf_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0008_mpsf_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0/collision_log.csv,,20.1,0.95,0,0,chrono_body_contact,198,0.14218679957518743,0.556227,0.07403910119047619,2.344048017857143,0.46880960357142853,40.09769793154069,39.878806,-0.556227,5.316758,40.0,1,1,1,47.5,0.758,,,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_oncoming_5g_nhits_geforce_clay_straight_v5_b0_seed910,9,20260719,none,none_delay0.00,0.0,0.0,5g_nhits_geforce,oncoming,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0009_none_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0,0,21.37852931022644,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0009_none_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0009_none_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/collision_log.csv,,10.8,0.83,0,2,chrono_body_contact,106,0.2072151481688334,0.382868,0.16715810526315789,4.975449289473684,0.9950898578947369,39.813405662966076,39.739238,-0.36047,0.0715,40.0,1,1,1,,,,,0
