idx,phase,study_id,operator_id,input_device_model,block,repetition,pair_id,filter,delay_s,convoy,terrain,path,speed_mps,bumpiness,seed,run_dir,command
0,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_seed910,none,0.0,lead_brake,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0000_none_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0,/home/ksha/miniconda3/envs/scm-terrain/bin/python -u /home/ksha/Documents/sbel/offroad-control/simulation/runtime/launch_decoupled.py --terrain clay --path straight --speed 5.0 --time 25.0 --lead-in 5.0 --bumpiness 0 --rocks 5 --rock-seed 910 --sim-seed 910 --sim-port 10400 --ctrl-port 10401 --transport ros --vis-mode sensor --manual-honor-time --sim-diag-csv /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0000_none_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv --nn-model rig_static_v5_cmd --simple-powertrain --cam-width 1280 --cam-height 800 --cam-fov 1.05 --cam-rate 30.0 --cam-fullscreen --delayed-pov --convoy lead_brake --traffic-detail mesh --goal-distance 40.0 --mesh-resolution 0.12 --latency-profile-json /home/ksha/Documents/sbel/offroad-control/latency_profiles/5g_nhits_geforce.json --latency-profile-log /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0000_none_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/latency_profile.csv --manual --rock-zone-x 10.0 98.0 --rock-zone-y -16.0 16.0 --rock-size 0.5 1.4 --rock-min-spacing 6.0 --rock-centerline-clear 3.0 --rock-spawn-clear 8.0
1,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_oncoming_5g_nhits_geforce_clay_straight_v5_b0_seed910,mpsf,0.0,oncoming,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0001_mpsf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0,/home/ksha/miniconda3/envs/scm-terrain/bin/python -u /home/ksha/Documents/sbel/offroad-control/simulation/runtime/launch_decoupled.py --terrain clay --path straight --speed 5.0 --time 25.0 --lead-in 5.0 --bumpiness 0 --rocks 5 --rock-seed 910 --sim-seed 910 --sim-port 10402 --ctrl-port 10403 --transport ros --vis-mode sensor --manual-honor-time --sim-diag-csv /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0001_mpsf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv --nn-model rig_static_v5_cmd --simple-powertrain --cam-width 1280 --cam-height 800 --cam-fov 1.05 --cam-rate 30.0 --cam-fullscreen --delayed-pov --convoy oncoming --traffic-detail mesh --goal-distance 40.0 --mesh-resolution 0.12 --latency-profile-json /home/ksha/Documents/sbel/offroad-control/latency_profiles/5g_nhits_geforce.json --latency-profile-log /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0001_mpsf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/latency_profile.csv --manual --rock-zone-x 10.0 98.0 --rock-zone-y -16.0 16.0 --rock-size 0.5 1.4 --rock-min-spacing 6.0 --rock-centerline-clear 3.0 --rock-spawn-clear 8.0 --safety-filter --safety-flavor mpsf --safety-buffer 0.25 --shield-horizon 12 --cbf-alpha 5.0 --cbf-forward-bias 3.0
2,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_stalled_5g_nhits_geforce_clay_straight_v5_b0_seed910,none,0.0,stalled,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0002_none_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0,/home/ksha/miniconda3/envs/scm-terrain/bin/python -u /home/ksha/Documents/sbel/offroad-control/simulation/runtime/launch_decoupled.py --terrain clay --path straight --speed 5.0 --time 25.0 --lead-in 5.0 --bumpiness 0 --rocks 5 --rock-seed 910 --sim-seed 910 --sim-port 10404 --ctrl-port 10405 --transport ros --vis-mode sensor --manual-honor-time --sim-diag-csv /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0002_none_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv --nn-model rig_static_v5_cmd --simple-powertrain --cam-width 1280 --cam-height 800 --cam-fov 1.05 --cam-rate 30.0 --cam-fullscreen --delayed-pov --convoy stalled --traffic-detail mesh --goal-distance 40.0 --mesh-resolution 0.12 --latency-profile-json /home/ksha/Documents/sbel/offroad-control/latency_profiles/5g_nhits_geforce.json --latency-profile-log /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0002_none_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0/latency_profile.csv --manual --rock-zone-x 10.0 98.0 --rock-zone-y -16.0 16.0 --rock-size 0.5 1.4 --rock-min-spacing 6.0 --rock-centerline-clear 3.0 --rock-spawn-clear 8.0
3,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_seed910,dob_cbf,0.0,lead_brake,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0003_dob_cbf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0,/home/ksha/miniconda3/envs/scm-terrain/bin/python -u /home/ksha/Documents/sbel/offroad-control/simulation/runtime/launch_decoupled.py --terrain clay --path straight --speed 5.0 --time 25.0 --lead-in 5.0 --bumpiness 0 --rocks 5 --rock-seed 910 --sim-seed 910 --sim-port 10406 --ctrl-port 10407 --transport ros --vis-mode sensor --manual-honor-time --sim-diag-csv /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0003_dob_cbf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv --nn-model rig_static_v5_cmd --simple-powertrain --cam-width 1280 --cam-height 800 --cam-fov 1.05 --cam-rate 30.0 --cam-fullscreen --delayed-pov --convoy lead_brake --traffic-detail mesh --goal-distance 40.0 --mesh-resolution 0.12 --latency-profile-json /home/ksha/Documents/sbel/offroad-control/latency_profiles/5g_nhits_geforce.json --latency-profile-log /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0003_dob_cbf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/latency_profile.csv --manual --rock-zone-x 10.0 98.0 --rock-zone-y -16.0 16.0 --rock-size 0.5 1.4 --rock-min-spacing 6.0 --rock-centerline-clear 3.0 --rock-spawn-clear 8.0 --safety-filter --safety-flavor dob_cbf --safety-buffer 0.25 --shield-horizon 12 --cbf-alpha 5.0 --cbf-forward-bias 3.0
4,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_stalled_5g_nhits_geforce_clay_straight_v5_b0_seed910,dob_cbf,0.0,stalled,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0004_dob_cbf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0,/home/ksha/miniconda3/envs/scm-terrain/bin/python -u /home/ksha/Documents/sbel/offroad-control/simulation/runtime/launch_decoupled.py --terrain clay --path straight --speed 5.0 --time 25.0 --lead-in 5.0 --bumpiness 0 --rocks 5 --rock-seed 910 --sim-seed 910 --sim-port 10408 --ctrl-port 10409 --transport ros --vis-mode sensor --manual-honor-time --sim-diag-csv /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0004_dob_cbf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv --nn-model rig_static_v5_cmd --simple-powertrain --cam-width 1280 --cam-height 800 --cam-fov 1.05 --cam-rate 30.0 --cam-fullscreen --delayed-pov --convoy stalled --traffic-detail mesh --goal-distance 40.0 --mesh-resolution 0.12 --latency-profile-json /home/ksha/Documents/sbel/offroad-control/latency_profiles/5g_nhits_geforce.json --latency-profile-log /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0004_dob_cbf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0/latency_profile.csv --manual --rock-zone-x 10.0 98.0 --rock-zone-y -16.0 16.0 --rock-size 0.5 1.4 --rock-min-spacing 6.0 --rock-centerline-clear 3.0 --rock-spawn-clear 8.0 --safety-filter --safety-flavor dob_cbf --safety-buffer 0.25 --shield-horizon 12 --cbf-alpha 5.0 --cbf-forward-bias 3.0
5,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_cut_in_5g_nhits_geforce_clay_straight_v5_b0_seed910,none,0.0,cut_in,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0005_none_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0,/home/ksha/miniconda3/envs/scm-terrain/bin/python -u /home/ksha/Documents/sbel/offroad-control/simulation/runtime/launch_decoupled.py --terrain clay --path straight --speed 5.0 --time 25.0 --lead-in 5.0 --bumpiness 0 --rocks 5 --rock-seed 910 --sim-seed 910 --sim-port 10410 --ctrl-port 10411 --transport ros --vis-mode sensor --manual-honor-time --sim-diag-csv /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0005_none_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv --nn-model rig_static_v5_cmd --simple-powertrain --cam-width 1280 --cam-height 800 --cam-fov 1.05 --cam-rate 30.0 --cam-fullscreen --delayed-pov --convoy cut_in --traffic-detail mesh --goal-distance 40.0 --mesh-resolution 0.12 --latency-profile-json /home/ksha/Documents/sbel/offroad-control/latency_profiles/5g_nhits_geforce.json --latency-profile-log /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0005_none_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0/latency_profile.csv --manual --rock-zone-x 10.0 98.0 --rock-zone-y -16.0 16.0 --rock-size 0.5 1.4 --rock-min-spacing 6.0 --rock-centerline-clear 3.0 --rock-spawn-clear 8.0
6,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_oncoming_5g_nhits_geforce_clay_straight_v5_b0_seed910,dob_cbf,0.0,oncoming,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0006_dob_cbf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0,/home/ksha/miniconda3/envs/scm-terrain/bin/python -u /home/ksha/Documents/sbel/offroad-control/simulation/runtime/launch_decoupled.py --terrain clay --path straight --speed 5.0 --time 25.0 --lead-in 5.0 --bumpiness 0 --rocks 5 --rock-seed 910 --sim-seed 910 --sim-port 10412 --ctrl-port 10413 --transport ros --vis-mode sensor --manual-honor-time --sim-diag-csv /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0006_dob_cbf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv --nn-model rig_static_v5_cmd --simple-powertrain --cam-width 1280 --cam-height 800 --cam-fov 1.05 --cam-rate 30.0 --cam-fullscreen --delayed-pov --convoy oncoming --traffic-detail mesh --goal-distance 40.0 --mesh-resolution 0.12 --latency-profile-json /home/ksha/Documents/sbel/offroad-control/latency_profiles/5g_nhits_geforce.json --latency-profile-log /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0006_dob_cbf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/latency_profile.csv --manual --rock-zone-x 10.0 98.0 --rock-zone-y -16.0 16.0 --rock-size 0.5 1.4 --rock-min-spacing 6.0 --rock-centerline-clear 3.0 --rock-spawn-clear 8.0 --safety-filter --safety-flavor dob_cbf --safety-buffer 0.25 --shield-horizon 12 --cbf-alpha 5.0 --cbf-forward-bias 3.0
7,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_seed910,mpsf,0.0,lead_brake,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0007_mpsf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0,/home/ksha/miniconda3/envs/scm-terrain/bin/python -u /home/ksha/Documents/sbel/offroad-control/simulation/runtime/launch_decoupled.py --terrain clay --path straight --speed 5.0 --time 25.0 --lead-in 5.0 --bumpiness 0 --rocks 5 --rock-seed 910 --sim-seed 910 --sim-port 10414 --ctrl-port 10415 --transport ros --vis-mode sensor --manual-honor-time --sim-diag-csv /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0007_mpsf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv --nn-model rig_static_v5_cmd --simple-powertrain --cam-width 1280 --cam-height 800 --cam-fov 1.05 --cam-rate 30.0 --cam-fullscreen --delayed-pov --convoy lead_brake --traffic-detail mesh --goal-distance 40.0 --mesh-resolution 0.12 --latency-profile-json /home/ksha/Documents/sbel/offroad-control/latency_profiles/5g_nhits_geforce.json --latency-profile-log /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0007_mpsf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r0/latency_profile.csv --manual --rock-zone-x 10.0 98.0 --rock-zone-y -16.0 16.0 --rock-size 0.5 1.4 --rock-min-spacing 6.0 --rock-centerline-clear 3.0 --rock-spawn-clear 8.0 --safety-filter --safety-flavor mpsf --safety-buffer 0.25 --shield-horizon 12 --cbf-alpha 5.0 --cbf-forward-bias 3.0
8,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_cut_in_5g_nhits_geforce_clay_straight_v5_b0_seed910,mpsf,0.0,cut_in,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0008_mpsf_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0,/home/ksha/miniconda3/envs/scm-terrain/bin/python -u /home/ksha/Documents/sbel/offroad-control/simulation/runtime/launch_decoupled.py --terrain clay --path straight --speed 5.0 --time 25.0 --lead-in 5.0 --bumpiness 0 --rocks 5 --rock-seed 910 --sim-seed 910 --sim-port 10416 --ctrl-port 10417 --transport ros --vis-mode sensor --manual-honor-time --sim-diag-csv /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0008_mpsf_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv --nn-model rig_static_v5_cmd --simple-powertrain --cam-width 1280 --cam-height 800 --cam-fov 1.05 --cam-rate 30.0 --cam-fullscreen --delayed-pov --convoy cut_in --traffic-detail mesh --goal-distance 40.0 --mesh-resolution 0.12 --latency-profile-json /home/ksha/Documents/sbel/offroad-control/latency_profiles/5g_nhits_geforce.json --latency-profile-log /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0008_mpsf_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0/latency_profile.csv --manual --rock-zone-x 10.0 98.0 --rock-zone-y -16.0 16.0 --rock-size 0.5 1.4 --rock-min-spacing 6.0 --rock-centerline-clear 3.0 --rock-spawn-clear 8.0 --safety-filter --safety-flavor mpsf --safety-buffer 0.25 --shield-horizon 12 --cbf-alpha 5.0 --cbf-forward-bias 3.0
9,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_oncoming_5g_nhits_geforce_clay_straight_v5_b0_seed910,none,0.0,oncoming,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0009_none_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0,/home/ksha/miniconda3/envs/scm-terrain/bin/python -u /home/ksha/Documents/sbel/offroad-control/simulation/runtime/launch_decoupled.py --terrain clay --path straight --speed 5.0 --time 25.0 --lead-in 5.0 --bumpiness 0 --rocks 5 --rock-seed 910 --sim-seed 910 --sim-port 10418 --ctrl-port 10419 --transport ros --vis-mode sensor --manual-honor-time --sim-diag-csv /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0009_none_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv --nn-model rig_static_v5_cmd --simple-powertrain --cam-width 1280 --cam-height 800 --cam-fov 1.05 --cam-rate 30.0 --cam-fullscreen --delayed-pov --convoy oncoming --traffic-detail mesh --goal-distance 40.0 --mesh-resolution 0.12 --latency-profile-json /home/ksha/Documents/sbel/offroad-control/latency_profiles/5g_nhits_geforce.json --latency-profile-log /home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0009_none_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r0/latency_profile.csv --manual --rock-zone-x 10.0 98.0 --rock-zone-y -16.0 16.0 --rock-size 0.5 1.4 --rock-min-spacing 6.0 --rock-centerline-clear 3.0 --rock-spawn-clear 8.0
