idx,cell,variant,convoy,delay_s,throttle,rc,wall_s,status,collided,min_clearance_m,near_misses,progress_x_m,mean_abs_dsteer,mean_abs_dthrottle,collision_source,intervention_rate_pct
0,oncoming@d0.15@t0.40,none,oncoming,0.15,0.4,0,23.6,ok,0,-0.501621,2,63.967612,,,chrono_body_contact,
1,oncoming@d0.15@t0.40,dob_blind,oncoming,0.15,0.4,0,25.0,ok,0,0.927127,1,57.58847,0.328716129032258,0.039261290322580654,chrono_body_contact,
2,oncoming@d0.15@t0.40,dob_aware,oncoming,0.15,0.4,0,24.9,ok,0,1.322333,0,57.47126,0.37286857142857144,0.07431142857142858,chrono_body_contact,
3,oncoming@d0.30@t0.40,none,oncoming,0.3,0.4,0,24.6,ok,0,46.195117,0,0.231341,,,chrono_body_contact,
4,oncoming@d0.30@t0.40,dob_blind,oncoming,0.3,0.4,0,24.9,ok,0,46.195117,0,0.231341,,,chrono_body_contact,
5,oncoming@d0.30@t0.40,dob_aware,oncoming,0.3,0.4,0,25.0,ok,0,46.195117,0,0.231341,,,chrono_body_contact,
6,jam@d0.15@t0.40,none,jam,0.15,0.4,0,31.8,ok,1,-2.831873,1,24.047301,,,chrono_body_contact,
7,jam@d0.15@t0.40,dob_blind,jam,0.15,0.4,0,36.3,ok,0,12.329799,0,5.893027,0.6307512987012986,0.3988792207792207,chrono_body_contact,
8,jam@d0.15@t0.40,dob_aware,jam,0.15,0.4,0,32.7,ok,0,13.35003,0,4.923181,0.027961635220125784,0.1533547169811321,chrono_body_contact,
9,jam@d0.30@t0.40,none,jam,0.3,0.4,0,35.3,ok,0,18.050577,0,0.235567,,,chrono_body_contact,
10,jam@d0.30@t0.40,dob_blind,jam,0.3,0.4,0,33.4,ok,0,18.050577,0,0.235567,,,chrono_body_contact,
11,jam@d0.30@t0.40,dob_aware,jam,0.3,0.4,0,33.5,ok,0,18.050577,0,0.235567,,,chrono_body_contact,
12,double_cut@d0.15@t0.40,none,double_cut,0.15,0.4,0,24.6,ok,0,10.510754,0,62.993232,,,chrono_body_contact,
13,double_cut@d0.15@t0.40,dob_blind,double_cut,0.15,0.4,0,26.4,ok,0,10.510754,0,62.993232,,,chrono_body_contact,
14,double_cut@d0.15@t0.40,dob_aware,double_cut,0.15,0.4,0,24.5,ok,0,10.535598,0,0.339769,0.022333333333333334,0.019825000000000002,chrono_body_contact,
15,double_cut@d0.30@t0.40,none,double_cut,0.3,0.4,0,24.2,ok,0,10.497989,0,0.223147,,,chrono_body_contact,
16,double_cut@d0.30@t0.40,dob_blind,double_cut,0.3,0.4,0,24.6,ok,0,10.497989,0,0.223147,,,chrono_body_contact,
17,double_cut@d0.30@t0.40,dob_aware,double_cut,0.3,0.4,0,24.6,ok,0,10.497989,0,0.223147,,,chrono_body_contact,
18,lead_brake@d0.15@t0.40,none,lead_brake,0.15,0.4,0,24.3,ok,1,0.46647,1,63.358172,,,chrono_body_contact,
19,lead_brake@d0.15@t0.40,dob_blind,lead_brake,0.15,0.4,0,24.6,ok,0,5.236429,0,0.053024,0.3061837438423645,0.3960591133004926,chrono_body_contact,
20,lead_brake@d0.15@t0.40,dob_aware,lead_brake,0.15,0.4,0,24.7,ok,0,5.234109,0,0.053376,0.27642758620689656,0.3960591133004926,chrono_body_contact,
21,lead_brake@d0.30@t0.40,none,lead_brake,0.3,0.4,0,24.3,ok,0,5.054144,0,0.232011,,,chrono_body_contact,
22,lead_brake@d0.30@t0.40,dob_blind,lead_brake,0.3,0.4,0,24.4,ok,0,5.238045,0,0.051396,0.2308325123152709,0.3921182266009852,chrono_body_contact,
23,lead_brake@d0.30@t0.40,dob_aware,lead_brake,0.3,0.4,0,24.3,ok,0,5.237974,0,0.050748,0.14316995073891625,0.3921182266009852,chrono_body_contact,
24,rear_approach@d0.15@t0.40,none,rear_approach,0.15,0.4,0,24.0,ok,1,-1.14057,1,79.338982,,,chrono_body_contact,
25,rear_approach@d0.15@t0.40,dob_blind,rear_approach,0.15,0.4,0,24.3,ok,1,-0.514089,1,106.958988,0.009519642857142857,0.28893392857142863,chrono_body_contact,
26,rear_approach@d0.15@t0.40,dob_aware,rear_approach,0.15,0.4,0,24.3,ok,1,-2.71549,1,116.631097,0.012210256410256411,0.4731807692307692,chrono_body_contact,
27,rear_approach@d0.30@t0.40,none,rear_approach,0.3,0.4,0,24.2,ok,1,-1.189607,1,80.429736,,,chrono_body_contact,
28,rear_approach@d0.30@t0.40,dob_blind,rear_approach,0.3,0.4,0,24.5,ok,1,-0.992318,1,112.92775,0.08842678571428572,0.4312116071428571,chrono_body_contact,
29,rear_approach@d0.30@t0.40,dob_aware,rear_approach,0.3,0.4,0,24.4,ok,1,-0.548194,1,109.579347,0.009981372549019608,0.3427774509803922,chrono_body_contact,
30,oncoming@d0.15@t0.60,none,oncoming,0.15,0.6,0,24.2,ok,0,-1.479115,2,103.713606,,,chrono_body_contact,
31,oncoming@d0.15@t0.60,dob_blind,oncoming,0.15,0.6,0,24.3,ok,0,-0.361014,1,89.027647,0.40784411764705875,0.23418235294117648,chrono_body_contact,
32,oncoming@d0.15@t0.60,dob_aware,oncoming,0.15,0.6,0,25.0,ok,0,-0.16138,1,81.570664,0.37509999999999993,0.30939999999999995,chrono_body_contact,
33,oncoming@d0.30@t0.60,none,oncoming,0.3,0.6,0,24.1,ok,1,-1.60569,2,102.986277,,,chrono_body_contact,
34,oncoming@d0.30@t0.60,dob_blind,oncoming,0.3,0.6,0,24.4,ok,0,-0.637517,1,85.123533,0.4121060606060606,0.29240303030303033,chrono_body_contact,
35,oncoming@d0.30@t0.60,dob_aware,oncoming,0.3,0.6,0,24.6,ok,0,-0.454237,2,59.973853,0.4120063291139241,0.35781139240506327,chrono_body_contact,
36,jam@d0.15@t0.60,none,jam,0.15,0.6,0,36.4,ok,1,-0.888767,1,28.069299,,,chrono_body_contact,
37,jam@d0.15@t0.60,dob_blind,jam,0.15,0.6,0,36.2,ok,0,1.238168,0,92.582743,0.1598271186440678,0.04697288135593219,chrono_body_contact,
38,jam@d0.15@t0.60,dob_aware,jam,0.15,0.6,0,35.5,ok,0,2.067239,0,91.100294,0.14578507462686566,0.04077014925373133,chrono_body_contact,
39,jam@d0.30@t0.60,none,jam,0.3,0.6,0,35.4,ok,1,-0.830955,1,27.536093,,,chrono_body_contact,
40,jam@d0.30@t0.60,dob_blind,jam,0.3,0.6,0,36.6,ok,0,1.211574,0,94.859527,0.12487833333333333,0.03468666666666665,chrono_body_contact,
41,jam@d0.30@t0.60,dob_aware,jam,0.3,0.6,0,31.7,ok,0,2.916021,0,91.563033,0.16391454545454542,0.048539999999999986,chrono_body_contact,
42,double_cut@d0.15@t0.60,none,double_cut,0.15,0.6,0,24.3,ok,1,-0.686723,1,93.881403,,,chrono_body_contact,
43,double_cut@d0.15@t0.60,dob_blind,double_cut,0.15,0.6,0,24.7,ok,0,4.933099,0,102.900008,0.059812048192771076,0.011122891566265048,chrono_body_contact,
44,double_cut@d0.15@t0.60,dob_aware,double_cut,0.15,0.6,0,24.7,ok,0,7.101893,0,99.997381,0.07485238095238095,0.0220642857142857,chrono_body_contact,
45,double_cut@d0.30@t0.60,none,double_cut,0.3,0.6,0,24.4,ok,1,-1.204592,1,94.499843,,,chrono_body_contact,
46,double_cut@d0.30@t0.60,dob_blind,double_cut,0.3,0.6,0,24.7,ok,0,5.586162,0,100.996723,0.06905125,0.015378749999999991,chrono_body_contact,
47,double_cut@d0.30@t0.60,dob_aware,double_cut,0.3,0.6,0,24.5,ok,0,10.35434,0,0.169288,0.5514368686868688,0.533740404040404,chrono_body_contact,
48,lead_brake@d0.15@t0.60,none,lead_brake,0.15,0.6,0,24.1,ok,1,-2.815344,1,75.781539,,,chrono_body_contact,
49,lead_brake@d0.15@t0.60,dob_blind,lead_brake,0.15,0.6,0,24.5,ok,0,5.231009,0,0.054717,0.25065812807881777,0.5940886699507388,chrono_body_contact,
50,lead_brake@d0.15@t0.60,dob_aware,lead_brake,0.15,0.6,0,24.5,ok,0,5.23206,0,0.053615,0.20451477832512316,0.5940886699507388,chrono_body_contact,
51,lead_brake@d0.30@t0.60,none,lead_brake,0.3,0.6,0,24.2,ok,1,-1.868813,1,70.930331,,,chrono_body_contact,
52,lead_brake@d0.30@t0.60,dob_blind,lead_brake,0.3,0.6,0,24.5,ok,0,5.238789,0,0.0518,0.3309960591133005,0.5881773399014777,chrono_body_contact,
53,lead_brake@d0.30@t0.60,dob_aware,lead_brake,0.3,0.6,0,24.5,ok,0,5.237781,0,0.051266,0.16362807881773397,0.5881773399014777,chrono_body_contact,
54,rear_approach@d0.15@t0.60,none,rear_approach,0.15,0.6,0,24.6,ok,1,-2.717388,1,117.571582,,,chrono_body_contact,
55,rear_approach@d0.15@t0.60,dob_blind,rear_approach,0.15,0.6,0,24.4,ok,1,0.018431,1,24.571118,0.018962162162162163,0.2830499999999999,chrono_body_contact,
56,rear_approach@d0.15@t0.60,dob_aware,rear_approach,0.15,0.6,0,24.2,ok,1,-1.402138,1,94.012602,0.08459935483870967,0.3340387096774194,chrono_body_contact,
57,rear_approach@d0.30@t0.60,none,rear_approach,0.3,0.6,0,24.1,ok,1,-1.137131,1,15.518196,,,chrono_body_contact,
