experiment,variant,controller_mode,mpc_model,nn_model,terrain,path,speed_mps,bumpiness,seed,run_dir,status,rc,wall_s,sim_s,rt_factor,diag_csv,collision_csv,shield_csv,n_samples,rms_cte_m,max_abs_cte_m,mean_abs_cte_m,mean_speed_mps,p95_speed_mps,speed_ratio,mean_solve_ms,p99_solve_ms,progress_m,final_x_m,final_y_m,collisions,collision_source,near_misses,min_clearance_m,intervention_rate_pct,filter_solve_ms,mean_abs_dsteer,mean_abs_dthrottle,notes,extra_sim_diag_csv,extra_controller_tire_force_truth_rows
mpc_tire_model_sweep,pacejka_oracle,standard,pacejka-oracle,tire_force_static,clay,sinusoidal,5.0,0,100,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0000_pacejka_oracle_clay_sinusoidal_v5_b0_s100,ok,0,19.131932735443115,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0000_pacejka_oracle_clay_sinusoidal_v5_b0_s100/20260828_002630_344812_clay_sinusoidal_acados_pacejka-oracle/diag_clay_sinusoidal_acados_pacejka-oracle.csv,,,1248,0.12367610537900348,0.504544,0.09444574238227146,3.534619944598338,5.161699999999999,0.7069239889196676,2.457900641025641,3.7053,123.29938779046313,47.314931,1.491183,0,chrono_body_contact,0,,,,,,,,0
mpc_tire_model_sweep,pacejka_oracle,standard,pacejka-oracle,tire_force_static,clay,sinusoidal,5.0,0,101,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0001_pacejka_oracle_clay_sinusoidal_v5_b0_s101,ok,0,19.167044639587402,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0001_pacejka_oracle_clay_sinusoidal_v5_b0_s101/20260828_002649_487772_clay_sinusoidal_acados_pacejka-oracle/diag_clay_sinusoidal_acados_pacejka-oracle.csv,,,1247,0.11942945375699181,0.534123,0.09118149861495844,3.5012171745152356,5.1394,0.7002434349030471,2.5035445068163593,3.53,118.87511200760225,47.035965,1.669681,0,chrono_body_contact,0,,,,,,,,0
mpc_tire_model_sweep,pacejka_oracle,standard,pacejka-oracle,tire_force_static,clay,sinusoidal,5.0,0,102,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0002_pacejka_oracle_clay_sinusoidal_v5_b0_s102,ok,0,19.16015386581421,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0002_pacejka_oracle_clay_sinusoidal_v5_b0_s102/20260828_002708_676184_clay_sinusoidal_acados_pacejka-oracle/diag_clay_sinusoidal_acados_pacejka-oracle.csv,,,1248,0.15841720793758948,0.644045,0.1126495650969529,3.6734409972299176,5.17753,0.7346881994459835,2.5206089743589746,3.73,124.89887858341291,49.093496,0.985201,0,chrono_body_contact,0,,,,,,,,0
mpc_tire_model_sweep,pacejka_oracle,standard,pacejka-oracle,tire_force_static,clay,sinusoidal,5.0,0,103,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0003_pacejka_oracle_clay_sinusoidal_v5_b0_s103,ok,0,19.169541835784912,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0003_pacejka_oracle_clay_sinusoidal_v5_b0_s103/20260828_002727_875816_clay_sinusoidal_acados_pacejka-oracle/diag_clay_sinusoidal_acados_pacejka-oracle.csv,,,1248,0.12525416616186455,0.5294,0.09347943951985227,3.5485755309325944,5.176749999999999,0.7097151061865189,2.5719551282051283,3.6853,122.44759038491723,47.454144,1.520221,0,chrono_body_contact,0,,,,,,,,0
mpc_tire_model_sweep,pacejka_oracle,standard,pacejka-oracle,tire_force_static,clay,sinusoidal,5.0,0,104,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0004_pacejka_oracle_clay_sinusoidal_v5_b0_s104,ok,0,19.17677593231201,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0004_pacejka_oracle_clay_sinusoidal_v5_b0_s104/20260828_002747_040763_clay_sinusoidal_acados_pacejka-oracle/diag_clay_sinusoidal_acados_pacejka-oracle.csv,,,1248,0.1520758615298502,0.654206,0.11159039519852261,3.6151059095106186,5.1973199999999995,0.7230211819021237,2.5101923076923076,3.8970999999999982,123.2424854475851,48.418931,1.197979,0,chrono_body_contact,0,,,,,,,,0
mpc_tire_model_sweep,pacejka_oracle,standard,pacejka-oracle,tire_force_static,clay,sinusoidal,5.0,4,100,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0005_pacejka_oracle_clay_sinusoidal_v5_b4_s100,ok,0,19.417612075805664,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0005_pacejka_oracle_clay_sinusoidal_v5_b4_s100/20260828_002806_251712_clay_sinusoidal_acados_pacejka-oracle/diag_clay_sinusoidal_acados_pacejka-oracle.csv,,,1248,0.14069901371831486,0.524665,0.1085098624192059,3.5763970452446907,5.11391,0.7152794090489382,2.499591346153846,3.71,123.5397044075299,47.860483,1.296456,0,chrono_body_contact,0,,,,,,,,0
mpc_tire_model_sweep,pacejka_oracle,standard,pacejka-oracle,tire_force_static,clay,sinusoidal,5.0,4,101,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0006_pacejka_oracle_clay_sinusoidal_v5_b4_s101,ok,0,19.358970165252686,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0006_pacejka_oracle_clay_sinusoidal_v5_b4_s101/20260828_002825_682749_clay_sinusoidal_acados_pacejka-oracle/diag_clay_sinusoidal_acados_pacejka-oracle.csv,,,1247,0.1512266061643336,0.643276,0.11216837396121884,3.5999750692520776,5.137099999999999,0.7199950138504155,2.9359582999198075,4.6,119.33680609934427,48.331826,1.287692,0,chrono_body_contact,0,,,,,,,,0
mpc_tire_model_sweep,pacejka_oracle,standard,pacejka-oracle,tire_force_static,clay,sinusoidal,5.0,4,102,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0007_pacejka_oracle_clay_sinusoidal_v5_b4_s102,ok,0,19.377203941345215,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0007_pacejka_oracle_clay_sinusoidal_v5_b4_s102/20260828_002845_054041_clay_sinusoidal_acados_pacejka-oracle/diag_clay_sinusoidal_acados_pacejka-oracle.csv,,,1248,0.15291211409907754,0.678483,0.11457961403508772,3.5839291782086797,5.14786,0.7167858356417359,2.538573717948718,3.6252999999999997,124.58649626802062,47.97085,1.430907,0,chrono_body_contact,0,,,,,,,,0
mpc_tire_model_sweep,pacejka_oracle,standard,pacejka-oracle,tire_force_static,clay,sinusoidal,5.0,4,103,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0008_pacejka_oracle_clay_sinusoidal_v5_b4_s103,ok,0,19.40569019317627,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0008_pacejka_oracle_clay_sinusoidal_v5_b4_s103/20260828_002904_447995_clay_sinusoidal_acados_pacejka-oracle/diag_clay_sinusoidal_acados_pacejka-oracle.csv,,,1248,0.14191897195360278,0.572731,0.10606648014773777,3.5960087719298244,5.09199,0.7192017543859649,2.488934294871795,3.67,122.61475681991757,48.195303,1.277223,0,chrono_body_contact,0,,,,,,,,0
mpc_tire_model_sweep,pacejka_oracle,standard,pacejka-oracle,tire_force_static,clay,sinusoidal,5.0,4,104,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0009_pacejka_oracle_clay_sinusoidal_v5_b4_s104,ok,0,19.35372495651245,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/mpc_tire_model_sweep_calibrated_20260828_002629/raw/0009_pacejka_oracle_clay_sinusoidal_v5_b4_s104/20260828_002923_861076_clay_sinusoidal_acados_pacejka-oracle/diag_clay_sinusoidal_acados_pacejka-oracle.csv,,,1247,0.15030077370319903,0.636123,0.11173392613111728,3.595083471837489,5.16247,0.7190166943674978,2.5709943865276665,3.6754,123.03338784981122,48.198552,1.282955,0,chrono_body_contact,0,,,,,,,,0
