trace_id,status,run_dir,trace_path,trace_sha256,trace_rows,trace_schema_version,trace_quality,source_path,failure,controller_prior,controller_prior_n,terrain_estimator_enabled,sim_seed,path,speed_mps,sim_time_s,lead_in_m,maneuver_label,terrain_id_probe,probe_target_alpha_rad,probe_slew_rate_radps,probe_signed_dwell_s,probe_clearance_m,probe_max_latency_s,wheel_center_noise_std_m,wheel_center_calibration_bias_std_m,attempt
trace_0000,ok,raw/trace_0000/attempt_01,raw/trace_0000/attempt_01/sensor_trace.csv,c6a71dcbac713e9ced0884c8596a8af6bf121091f6829956ebe4b4eae0a49ed5,1167,3,exact_runtime_observations,raw/trace_0000/attempt_01/20260801_181211_550620_dirt_sinusoidal_acados_static_mlp/terrain_observations.csv,,dirt,0.7,False,82330000,sinusoidal,5.0,14.0,5.0,passive,False,0.1,0.4,0.15,35.0,0.3,0.01,0.003,1
trace_0001,ok,raw/trace_0001/attempt_01,raw/trace_0001/attempt_01/sensor_trace.csv,8e64cf0a1866aa49ecf4d7ba5317c84139a64dc25a2039c3a5bdae6e98682ba9,851,3,exact_runtime_observations,raw/trace_0001/attempt_01/20260801_181231_963189_dirt_sinusoidal_acados_static_mlp/terrain_observations.csv,,dirt,0.7,False,82330001,sinusoidal,5.0,14.0,5.0,passive,False,0.1,0.4,0.15,35.0,0.3,0.01,0.003,1
trace_0002,ok,raw/trace_0002/attempt_01,raw/trace_0002/attempt_01/sensor_trace.csv,c8a66743db38ffc32160d1773c85add8011d7ee76c4d36d03e6d602a54fc0675,819,3,exact_runtime_observations,raw/trace_0002/attempt_01/20260801_181231_695719_dirt_sinusoidal_acados_static_mlp/terrain_observations.csv,,dirt,0.7,False,82330002,sinusoidal,5.0,14.0,5.0,passive,False,0.1,0.4,0.15,35.0,0.3,0.01,0.003,1
trace_0003,ok,raw/trace_0003/attempt_01,raw/trace_0003/attempt_01/sensor_trace.csv,ea6843004003b593dc42d16fa233718c2fd774f6eb5220ac6edb1ef041df9985,834,3,exact_runtime_observations,raw/trace_0003/attempt_01/20260801_181231_695685_dirt_sinusoidal_acados_static_mlp/terrain_observations.csv,,dirt,0.7,False,82330003,sinusoidal,5.0,14.0,5.0,passive,False,0.1,0.4,0.15,35.0,0.3,0.01,0.003,1
trace_0004,ok,raw/trace_0004/attempt_01,raw/trace_0004/attempt_01/sensor_trace.csv,a44b600d0eb000f46977795c7260f5759aee3d97f81d59f676d5179ac9675118,812,3,exact_runtime_observations,raw/trace_0004/attempt_01/20260801_181231_672761_dirt_sinusoidal_acados_static_mlp/terrain_observations.csv,,dirt,0.7,False,82330004,sinusoidal,5.0,14.0,5.0,passive,False,0.1,0.4,0.15,35.0,0.3,0.01,0.003,1
trace_0005,ok,raw/trace_0005/attempt_01,raw/trace_0005/attempt_01/sensor_trace.csv,9d389a5ee91d89f636ffefa72a0492f44f646015453aa914c8b88019ac7de1c5,777,3,exact_runtime_observations,raw/trace_0005/attempt_01/20260801_181231_673502_dirt_sinusoidal_acados_static_mlp/terrain_observations.csv,,dirt,0.7,False,82330005,sinusoidal,5.0,14.0,5.0,passive,False,0.1,0.4,0.15,35.0,0.3,0.01,0.003,1
trace_0006,ok,raw/trace_0006/attempt_01,raw/trace_0006/attempt_01/sensor_trace.csv,784d210ed9dc4424404673ee904d7faba5839188b8109f7e69acaad02d8abd9c,825,3,exact_runtime_observations,raw/trace_0006/attempt_01/20260801_181231_909923_dirt_sinusoidal_acados_static_mlp/terrain_observations.csv,,dirt,0.7,False,82330006,sinusoidal,5.0,14.0,5.0,passive,False,0.1,0.4,0.15,35.0,0.3,0.01,0.003,1
trace_0007,ok,raw/trace_0007/attempt_01,raw/trace_0007/attempt_01/sensor_trace.csv,be36362997155e94520d16bc367bd038f4591a7216dd0d4951e5fd5fbb6cdd5b,840,3,exact_runtime_observations,raw/trace_0007/attempt_01/20260801_181231_679041_dirt_sinusoidal_acados_static_mlp/terrain_observations.csv,,dirt,0.7,False,82330007,sinusoidal,5.0,14.0,5.0,passive,False,0.1,0.4,0.15,35.0,0.3,0.01,0.003,1
trace_0008,ok,raw/trace_0008/attempt_01,raw/trace_0008/attempt_01/sensor_trace.csv,2ff99e5c287c4082f4b70595653e5e3dec23fb88f441ee2d22a36769c298e390,805,3,exact_runtime_observations,raw/trace_0008/attempt_01/20260801_181231_729005_dirt_sinusoidal_acados_static_mlp/terrain_observations.csv,,dirt,0.7,False,82330008,sinusoidal,5.0,14.0,5.0,passive,False,0.1,0.4,0.15,35.0,0.3,0.01,0.003,1
trace_0009,ok,raw/trace_0009/attempt_01,raw/trace_0009/attempt_01/sensor_trace.csv,36cdc730f942b6c5f9d9c91fcfb115f786a60117884f82647ab6ae92d9f51500,847,3,exact_runtime_observations,raw/trace_0009/attempt_01/20260801_181252_845803_dirt_sinusoidal_acados_static_mlp/terrain_observations.csv,,dirt,0.7,False,82330009,sinusoidal,5.0,14.0,5.0,passive,False,0.1,0.4,0.15,35.0,0.3,0.01,0.003,1
