trace_id,backend,backend_label,status,trace_path,trace_sha256,trace_rows,tail_start_s,tail_rows,est_n,internal_est_n,final_est_n,final_internal_n,tail_n_sigma,final_n_sigma,est_phi_deg,internal_est_phi_deg,final_est_phi_deg,final_internal_phi_deg,tail_phi_sigma_deg,final_phi_sigma_deg,publish_update_count,joint_snapshot_update_count,final_joint_snapshot_seq,estimate_call_count,dynamics_active_rows,final_dynamics_windows,max_dynamics_windows,accepted_dynamics_windows,rejected_dynamics_windows,feature_clip_count,feature_envelope_excursions,kinematic_excitation_rejections,last_informative_time,final_profile_force_gain,final_profile_ax_bias,final_profile_ay_bias,profile_bound_hit_rows,final_accepted_snapshot_version,final_joint_active,final_joint_has_estimate,final_joint_updates,final_snapshot_n,final_snapshot_phi_deg,final_joint_projection_failures,final_joint_information_kl,final_n_information_kl,final_phi_information_kl,final_cohesion_information_kl,final_n_boundary_mass,final_phi_boundary_mass,final_cohesion_boundary_mass,final_max_boundary_mass,final_boundary_limited,final_observability_rank,final_observability_min_singular_value,final_last_likelihood_block_count,final_last_likelihood_residual_count,final_residual_ax_mad,final_residual_ay_mad,final_residual_sample_count,final_duplicate_likelihood_block_count,final_duplicate_likelihood_update_count,final_likelihood_evaluations,final_last_joint_update_time,final_publication_confidence,final_load_transfer_mode,final_last_effective_front_load,final_last_effective_rear_load,final_last_effective_load_ax,final_last_effective_load_ay,final_projection_wall_time_s,final_profile_wall_time_s,final_observability_wall_time_s,final_posterior_wall_time_s,final_publication_wall_time_s,final_update_wall_time_s,final_final_trace_time,final_final_update_age_s,final_final_update_max_age_s,final_accuracy_valid,final_fresh,final_confident,final_control_envelope_valid,final_publication_ready,final_snapshot_was_published,timeseries_path,trace_quality,failure
trace_0000,rig_dynamics_joint,Joint rig-dynamics profile,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/joint_b4_scope_seed94627135/collection/raw/trace_0000/attempt_01/sensor_trace.csv,c6a71dcbac713e9ced0884c8596a8af6bf121091f6829956ebe4b4eae0a49ed5,1167,7,583,0.6418300244309384,0.6418300244309384,0.56334792675497103,0.56334792675497103,0.16876758053876667,0.12055099587324154,27.057480739893094,27.057480739893094,23.959079076346622,23.959079076346622,6.8516659013219341,3.9059990871127943,8,8,8,8,333,15,15,15,12,0,3,0,13.24800000000039,0.99713435918358029,0.026861183564647294,-0.0034016012992717447,0,rig_dynamics_joint_accepted_v2,1,1,8,0.56334792675497103,23.959079076346622,0,1.9807052161595853,0.52719444536868887,0.81483094794779654,0,0.045200741095870779,0.00022265264810138264,0,0.045200741095870779,0,2,1.3186552343002487,15,30,0.18761191900352747,0.16667866875034054,92,0,0,8,13.24800000000039,0.61470772509547666,static,6531.9641384009701,6088.6008615990313,0,0,0.043389671482145786,0.061012797057628632,0.0071909762918949127,0.068566856905817986,8.6116604506969452e-05,0.11204264499247074,13.992000000000418,0.74400000000002819,3.5,1,1,1,1,1,1,timeseries/trace_0000_rig_dynamics_joint.csv,exact_runtime_observations,
trace_0001,rig_dynamics_joint,Joint rig-dynamics profile,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/joint_b4_scope_seed94627135/collection/raw/trace_0001/attempt_01/sensor_trace.csv,8e64cf0a1866aa49ecf4d7ba5317c84139a64dc25a2039c3a5bdae6e98682ba9,851,7,417,0.57207633592116991,0.57207633592116991,0.48708163733463333,0.48708163733463333,0.11192005820592994,0.039128098305056765,32.649552852130242,32.649552852130242,34.687260896476303,34.687260896476303,5.228408956336426,2.5613273656355138,8,8,8,8,271,13,13,15,12,0,5,2,13.24800000000039,1.0085805389379068,-0.064440992089841997,-0.019896407426480918,0,rig_dynamics_joint_accepted_v2,1,1,8,0.48708163733463333,34.687260896476303,0,2.8070905974936258,1.5346870137638022,1.2461332706862944,0,0.026399200938952885,0.24225150560275091,0,0.24225150560275091,0,2,2.0404134563365548,13,26,0.30753516166997868,0.24251610316398001,89,0,0,8,13.24800000000039,0.66591421908633353,static,6531.9641384009701,6088.6008615990313,0,0,0.039033820852637291,0.041827521286904812,0.00015229545533657074,0.042317795567214489,5.8101490139961243e-05,0.081409717909991741,13.980000000000418,0.73200000000002774,3.5,1,1,1,1,1,1,timeseries/trace_0001_rig_dynamics_joint.csv,exact_runtime_observations,
trace_0002,rig_dynamics_joint,Joint rig-dynamics profile,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/joint_b4_scope_seed94627135/collection/raw/trace_0002/attempt_01/sensor_trace.csv,c8a66743db38ffc32160d1773c85add8011d7ee76c4d36d03e6d602a54fc0675,819,7,399,0.74081553370177555,0.74081553370177555,0.77571183788351228,0.77571183788351228,0.16074027683303596,0.12605432157603652,29.171401672875387,29.171401672875387,29.381253643889679,29.381253643889679,6.3845364074611641,4.1274337757463693,10,10,10,10,287,16,16,17,10,0,1,1,13.24800000000039,1.0027521469834419,-0.018210336707642046,0.00080432148004559419,0,rig_dynamics_joint_accepted_v2,1,1,10,0.77571183788351228,29.381253643889679,0,1.3084478775788575,0.35658937690271919,0.71146349440137224,0,0.0038861505282469571,0.020681629528056075,0,0.020681629528056075,0,2,0.19750081763411884,16,32,0.17466170442208578,0.099796083967279431,124,0,0,10,13.24800000000039,0.52142531938832304,static,6531.9641384009701,6088.6008615990313,0,0,0.063721079379320145,0.062095752917230129,0.00017692986875772476,0.062665995210409164,8.15587118268013e-05,0.12646863330155611,13.980000000000418,0.73200000000002774,3.5,1,1,1,1,1,1,timeseries/trace_0002_rig_dynamics_joint.csv,exact_runtime_observations,
trace_0003,rig_dynamics_joint,Joint rig-dynamics profile,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/joint_b4_scope_seed94627135/collection/raw/trace_0003/attempt_01/sensor_trace.csv,ea6843004003b593dc42d16fa233718c2fd774f6eb5220ac6edb1ef041df9985,834,7,397,0.68923055561782731,0.68923055561782731,0.67456419074066021,0.67456419074066021,0.17189350790825228,0.13105896510679949,22.225688380936621,22.225688380936621,15.572825154198005,15.572825154198005,6.4096917687847661,3.0017625528616336,7,7,7,7,202,14,14,14,13,0,3,0,13.23600000000039,1.0031259777520913,0.066077580353674337,0.0059245492216455772,0,rig_dynamics_joint_accepted_v2,1,1,7,0.67456419074066021,15.572825154198005,0,1.7503965526609888,0.3189464166047507,1.0307568194588297,0,0.018210793848492595,0.0031982877036987297,0,0.018210793848492595,0,2,0.59166093289958155,14,28,0.21031134533339338,0.11788424095661636,77,0,0,7,13.23600000000039,0.57920722592911678,static,6531.9641384009701,6088.6008615990313,0,0,0.050394388847053051,0.066033933311700821,0.00018975604325532913,0.066590802744030952,8.0185942351818085e-05,0.11706537753343582,13.992000000000418,0.75600000000002865,3.5,1,1,1,1,1,1,timeseries/trace_0003_rig_dynamics_joint.csv,exact_runtime_observations,
trace_0004,rig_dynamics_joint,Joint rig-dynamics profile,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/joint_b4_scope_seed94627135/collection/raw/trace_0004/attempt_01/sensor_trace.csv,a44b600d0eb000f46977795c7260f5759aee3d97f81d59f676d5179ac9675118,812,7,406,0.64399074622132035,0.64399074622132035,0.54781945479936445,0.54781945479936445,0.15166391917594935,0.094792746875482448,30.291161193261157,30.291161193261157,28.700583927857636,28.700583927857636,6.1310659625073418,4.169379843238846,10,10,10,10,296,15,15,17,10,0,4,0,13.24800000000039,1.0037230370188888,-0.0034527790901134905,-0.0040870002882190575,0,rig_dynamics_joint_accepted_v2,1,1,10,0.54781945479936445,28.700583927857636,0,2.0528859957485541,0.71474292836487641,0.74574532346935429,0,0.038702301295476541,0.039362110737249635,0,0.039362110737249635,0,2,1.490705607024515,15,30,0.18964130711190269,0.27621880363308582,122,0,0,10,13.24800000000039,0.69224681830104462,static,6531.9641384009701,6088.6008615990313,0,0,0.044329599477350712,0.065870415419340134,0.00019121076911687851,0.066507303155958652,0.0061089266091585159,0.11694582924246788,13.992000000000418,0.74400000000002819,3.5,1,1,1,1,1,1,timeseries/trace_0004_rig_dynamics_joint.csv,exact_runtime_observations,
trace_0005,rig_dynamics_joint,Joint rig-dynamics profile,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/joint_b4_scope_seed94627135/collection/raw/trace_0005/attempt_01/sensor_trace.csv,9d389a5ee91d89f636ffefa72a0492f44f646015453aa914c8b88019ac7de1c5,777,7,394,0.69600935546304354,0.69600935546304354,0.67645782030205792,0.67645782030205792,0.18446228457907163,0.17650499851074131,30.900860162631034,30.900860162631034,31.83573107633266,31.83573107633266,6.5102295703376498,4.570813306947243,9,9,9,9,253,15,15,16,11,0,3,1,13.24800000000039,1.0035228526258602,-0.11507943130090532,0.0014838415485807293,0,rig_dynamics_joint_accepted_v2,1,1,9,0.67645782030205792,31.83573107633266,0,1.5496283522012009,0.19317292627082419,0.74971176192287758,0,0.011213810299549242,0.15940698771264192,0,0.15940698771264192,0,2,1.5537405913830009,15,30,0.21830787925200015,0.13385725117609146,107,0,0,9,13.24800000000039,0.38347227604686412,static,6531.9641384009701,6088.6008615990313,0,0,0.061676988378167152,0.043682071380317211,0.00018623471260070801,0.044281503185629845,8.0423429608345032e-05,0.10603891499340534,13.980000000000418,0.73200000000002774,3.5,1,1,1,1,1,1,timeseries/trace_0005_rig_dynamics_joint.csv,exact_runtime_observations,
trace_0006,rig_dynamics_joint,Joint rig-dynamics profile,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/joint_b4_scope_seed94627135/collection/raw/trace_0006/attempt_01/sensor_trace.csv,784d210ed9dc4424404673ee904d7faba5839188b8109f7e69acaad02d8abd9c,825,7,409,0.80651178035577853,0.80651178035577853,0.86522565552459829,0.86522565552459829,0.15844507773900235,0.12567005117275598,28.221163461752017,28.221163461752017,27.804394354023614,27.804394354023614,6.1429349997475171,3.8989191822772304,10,10,10,10,296,16,16,17,10,0,2,0,13.24800000000039,1.0006083984882146,-0.022206910622113173,0.0043775513320509158,0,rig_dynamics_joint_accepted_v2,1,1,10,0.86522565552459829,27.804394354023614,0,1.2538318699158373,0.38541860866460032,0.75380310237827597,0,0.010876506834739313,0.0067094513143499349,0,0.010876506834739313,0,2,0.15166587444608465,16,32,0.18663878161772524,0.18853242533678299,124,0,0,10,13.24800000000039,0.51654856881966715,static,6531.9641384009701,6088.6008615990313,0,0,0.024574415758252144,0.018619074486196041,0.00017759483307600021,0.019184675998985767,0.0030906088650226593,0.046849700622260571,13.980000000000418,0.73200000000002774,3.5,1,1,1,1,1,1,timeseries/trace_0006_rig_dynamics_joint.csv,exact_runtime_observations,
trace_0007,rig_dynamics_joint,Joint rig-dynamics profile,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/joint_b4_scope_seed94627135/collection/raw/trace_0007/attempt_01/sensor_trace.csv,be36362997155e94520d16bc367bd038f4591a7216dd0d4951e5fd5fbb6cdd5b,840,7,412,0.69778723511534435,0.69778723511534435,0.68633004867108538,0.68633004867108538,0.18985896071573083,0.15048987683316212,22.987195002904208,22.987195002904208,12.358546939690029,12.358546939690029,7.3616120997414525,2.9334592731630882,5,5,5,5,146,12,12,12,15,0,2,0,13.24200000000039,0.99894928148614726,0.066012595378495562,0.0086314043279121493,0,rig_dynamics_joint_accepted_v2,1,1,5,0.68633004867108538,12.358546939690029,0,1.6101697984735024,0.19447982817319087,1.0569215896980224,0,0.022405571305218901,0.046462837997349044,0,0.046462837997349044,0,2,0.60834744410916519,12,24,0.1566075594334182,0.093908551073727559,50,0,0,5,13.24200000000039,0.49925529485476294,static,6531.9641384009701,6088.6008615990313,0,0,0.036307364702224731,0.026134788990020752,0.00018391851335763931,0.026737433858215809,0.00010077562183141708,0.063145574182271957,13.980000000000418,0.73800000000002797,3.5,1,1,1,1,1,1,timeseries/trace_0007_rig_dynamics_joint.csv,exact_runtime_observations,
trace_0008,rig_dynamics_joint,Joint rig-dynamics profile,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/joint_b4_scope_seed94627135/collection/raw/trace_0008/attempt_01/sensor_trace.csv,2ff99e5c287c4082f4b70595653e5e3dec23fb88f441ee2d22a36769c298e390,805,7,393,0.67209404447499921,0.67209404447499921,0.6732927222695122,0.6732927222695122,0.16193731764302277,0.13537713844077712,25.812118280249678,25.812118280249678,23.581670081629319,23.581670081629319,6.0594042822121805,4.1469488254982263,8,8,8,8,281,13,13,15,12,0,5,0,13.24800000000039,1.0008977514883668,0.028666998305294778,0.011136656706039019,0,rig_dynamics_joint_accepted_v2,1,1,8,0.6732927222695122,23.581670081629319,0,1.4654856688702005,0.28494263660479818,0.70240004523955413,0,0.01716192753706116,4.3714684067524016e-05,0,0.01716192753706116,0,2,0.29385794688820177,13,26,0.18505681979371305,0.23938571967245115,85,0,0,8,13.24800000000039,0.52950048769128033,static,6531.9641384009701,6088.6008615990313,0,0,0.047062456607818604,0.035660699009895325,0.00014449004083871841,0.036113962531089783,6.4637511968612671e-05,0.083241056650876999,13.992000000000418,0.74400000000002819,3.5,1,1,1,1,1,1,timeseries/trace_0008_rig_dynamics_joint.csv,exact_runtime_observations,
trace_0009,rig_dynamics_joint,Joint rig-dynamics profile,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/joint_b4_scope_seed94627135/collection/raw/trace_0009/attempt_01/sensor_trace.csv,36cdc730f942b6c5f9d9c91fcfb115f786a60117884f82647ab6ae92d9f51500,847,7,418,0.68543102765358788,0.68543102765358788,0.66595561233911627,0.66595561233911627,0.17735702383658372,0.15934582868242783,23.702823666038924,23.702823666038924,19.689452877752405,19.689452877752405,6.3598648879259896,4.0205815760680714,9,9,9,9,267,16,16,16,11,0,2,0,13.24800000000039,0.99755613106975327,-0.025227471606840687,0.0022978261903862855,0,rig_dynamics_joint_accepted_v2,1,1,9,0.66595561233911627,19.689452877752405,0,1.4042063101175413,0.16552168090347499,0.73428374121844686,0,0.025165632955459292,0.00014634364137250611,0,0.025165632955459292,0,2,0.72581432513606192,16,32,0.1248539934904592,0.15764161477351646,108,0,0,9,13.24800000000039,0.46190593279763947,static,6531.9641384009701,6088.6008615990313,0,0,0.063692339695990086,0.048280584625899792,0.00017340667545795441,0.048833676613867283,7.5981020927429199e-05,0.1126019973307848,13.980000000000418,0.73200000000002774,3.5,1,1,1,1,1,1,timeseries/trace_0009_rig_dynamics_joint.csv,exact_runtime_observations,
