experiment,variant,controller_mode,mpc_model,nn_model,terrain,path,speed_mps,bumpiness,seed,run_dir,status,rc,wall_s,sim_s,rt_factor,diag_csv,collision_csv,shield_csv,n_samples,rms_cte_m,max_abs_cte_m,mean_abs_cte_m,mean_speed_mps,p95_speed_mps,speed_ratio,mean_solve_ms,p99_solve_ms,progress_m,final_x_m,final_y_m,collisions,collision_source,near_misses,min_clearance_m,intervention_rate_pct,filter_solve_ms,mean_abs_dsteer,mean_abs_dthrottle,notes,extra_sim_diag_csv
safety_filter_sweep,none_blind,standard,nn,tire_force_static,clay,sinusoidal,5.0,0,45,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0000_none_blind_clay_sinusoidal_v5_b0_s45,ok,0,19.209001064300537,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0000_none_blind_clay_sinusoidal_v5_b0_s45/20260828_044751_634462_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0000_none_blind_clay_sinusoidal_v5_b0_s45/collision_log.csv,,1250,0.28712120989597467,0.509281,0.2140983702677747,0.9925348107109879,3.02423,0.1985069621421976,6.080968,6.810599999999999,15.018425664495483,15.761498,1.099038,1,chrono_body_contact,1,-0.068703,,,,,,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0000_none_blind_clay_sinusoidal_v5_b0_s45/sim_diag.csv
safety_filter_sweep,none_blind,standard,nn,tire_force_static,clay,sinusoidal,5.0,0,49,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0004_none_blind_clay_sinusoidal_v5_b0_s49,ok,0,20.910990953445435,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0004_none_blind_clay_sinusoidal_v5_b0_s49/20260828_044812_281232_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0004_none_blind_clay_sinusoidal_v5_b0_s49/collision_log.csv,,919,0.14635154813890824,0.281787,0.11190886717752234,1.5237063856960409,4.00579,0.3047412771392082,13.85139281828074,15.320999999999996,22.477644323568306,22.629753,-1.367026,1,chrono_body_contact,1,-0.057091,,,,,,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0004_none_blind_clay_sinusoidal_v5_b0_s49/sim_diag.csv
safety_filter_sweep,none_blind,standard,nn,tire_force_static,clay,sinusoidal,5.0,0,48,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0003_none_blind_clay_sinusoidal_v5_b0_s48,ok,0,20.915287733078003,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0003_none_blind_clay_sinusoidal_v5_b0_s48/20260828_044812_369364_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0003_none_blind_clay_sinusoidal_v5_b0_s48/collision_log.csv,,912,0.3281899704518773,0.496639,0.262459216944801,0.8230546854942233,2.957409999999999,0.16461093709884467,13.905328947368421,16.0845,12.780739692714842,13.988116,2.276101,1,chrono_body_contact,1,-1.613363,,,,,,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0003_none_blind_clay_sinusoidal_v5_b0_s48/sim_diag.csv
safety_filter_sweep,none_blind,standard,nn,tire_force_static,clay,sinusoidal,5.0,0,46,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0001_none_blind_clay_sinusoidal_v5_b0_s46,ok,0,21.06426429748535,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0001_none_blind_clay_sinusoidal_v5_b0_s46/20260828_044812_586963_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0001_none_blind_clay_sinusoidal_v5_b0_s46/collision_log.csv,,936,0.26514233925886005,0.47892,0.20721749129353237,0.9835202736318408,2.984215,0.19670405472636815,13.61638888888889,15.28,15.652613620450662,16.218412,1.759218,1,chrono_body_contact,1,-0.999198,,,,,,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0001_none_blind_clay_sinusoidal_v5_b0_s46/sim_diag.csv
safety_filter_sweep,none_blind,standard,nn,tire_force_static,clay,sinusoidal,5.0,0,47,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0002_none_blind_clay_sinusoidal_v5_b0_s47,ok,0,21.061088800430298,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0002_none_blind_clay_sinusoidal_v5_b0_s47/20260828_044812_386671_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0002_none_blind_clay_sinusoidal_v5_b0_s47/collision_log.csv,,929,0.16190678544825013,0.612563,0.0930745495608532,2.226830991217064,3.7292399999999994,0.44536619824341284,13.728686759956943,15.308800000000002,32.39715369965452,32.537914,-1.020722,1,chrono_body_contact,3,-0.261528,,,,,,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0002_none_blind_clay_sinusoidal_v5_b0_s47/sim_diag.csv
safety_filter_sweep,none_blind,standard,nn,tire_force_static,clay,sinusoidal,5.0,4,45,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0005_none_blind_clay_sinusoidal_v5_b4_s45,ok,0,21.465532064437866,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0005_none_blind_clay_sinusoidal_v5_b4_s45/20260828_044812_359214_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0005_none_blind_clay_sinusoidal_v5_b4_s45/collision_log.csv,,894,0.3373864873637007,0.541779,0.2519653549222798,0.9886959844559583,3.05619,0.19773919689119165,14.344183445190158,17.360699999999998,15.415207793029452,15.715645,1.026661,1,chrono_body_contact,1,-0.090398,,,,,,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0005_none_blind_clay_sinusoidal_v5_b4_s45/sim_diag.csv
safety_filter_sweep,none_blind,standard,nn,tire_force_static,clay,sinusoidal,5.0,4,48,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0008_none_blind_clay_sinusoidal_v5_b4_s48,ok,0,21.46088981628418,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0008_none_blind_clay_sinusoidal_v5_b4_s48/20260828_044812_321357_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0008_none_blind_clay_sinusoidal_v5_b4_s48/collision_log.csv,,913,1.082079932993525,2.74788,0.6364871617834396,2.5043476433121015,4.416339999999999,0.5008695286624203,14.030240963855423,17.3252,35.4015342504228,34.43926,-2.785445,2,chrono_body_contact,3,-1.85353,,,,,,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0008_none_blind_clay_sinusoidal_v5_b4_s48/sim_diag.csv
safety_filter_sweep,none_blind,standard,nn,tire_force_static,clay,sinusoidal,5.0,4,47,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0007_none_blind_clay_sinusoidal_v5_b4_s47,ok,0,21.464166164398193,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0007_none_blind_clay_sinusoidal_v5_b4_s47/20260828_044812_364936_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0007_none_blind_clay_sinusoidal_v5_b4_s47/collision_log.csv,,913,0.2074506838432033,0.6361,0.12752844923857867,2.0896696700507613,3.73311,0.4179339340101523,14.034731653888281,15.5932,30.719094582779825,30.707701,-1.636193,1,chrono_body_contact,3,-0.327299,,,,,,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0007_none_blind_clay_sinusoidal_v5_b4_s47/sim_diag.csv
safety_filter_sweep,none_blind,standard,nn,tire_force_static,clay,sinusoidal,5.0,4,46,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0006_none_blind_clay_sinusoidal_v5_b4_s46,ok,0,21.722921133041382,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0006_none_blind_clay_sinusoidal_v5_b4_s46/20260828_044812_429743_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0006_none_blind_clay_sinusoidal_v5_b4_s46/collision_log.csv,,917,0.4251960469517232,0.718301,0.3013316116015132,1.1972578814627997,3.03042,0.23945157629255992,13.953718647764449,19.249200000000005,17.67004924084818,18.830678,1.096403,1,chrono_body_contact,1,-1.881732,,,,,,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0006_none_blind_clay_sinusoidal_v5_b4_s46/sim_diag.csv
safety_filter_sweep,none_blind,standard,nn,tire_force_static,clay,sinusoidal,5.0,4,49,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0009_none_blind_clay_sinusoidal_v5_b4_s49,ok,0,21.57545304298401,15.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0009_none_blind_clay_sinusoidal_v5_b4_s49/20260828_044833_153474_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0009_none_blind_clay_sinusoidal_v5_b4_s49/collision_log.csv,,916,0.17497937746164272,0.388007,0.12667200254129607,1.5086099110546376,3.9990799999999997,0.3017219822109275,14.030622270742358,16.027500000000007,22.542493915707993,22.612609,-1.386921,1,chrono_body_contact,1,-0.061611,,,,,,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/safety_filter_sweep_planner_aware_20260828_044750/raw/0009_none_blind_clay_sinusoidal_v5_b4_s49/sim_diag.csv
