status,collided,min_clear,mean_dsteer,mean_dthrottle,max_abs_y,steer_reversals,progress_x,final_v,scenario,title,cite,filter
ok,0,-0.031496,0.002782016949152542,0.05786701129943502,0.019672,27,96.101352,5.602763,1_pio_oscillation,Latency-induced steering oscillation (PIO),VSD 2025; Orosz IV 2024,none
ok,0,0.236044,0.09360981920903956,0.13668902824858759,0.364,20,84.94731,5.883561,1_pio_oscillation,Latency-induced steering oscillation (PIO),VSD 2025; Orosz IV 2024,dob_cbf
ok,0,0.412752,0.24472044632768358,0.12103766101694916,6.563536,13,77.87333,5.629388,1_pio_oscillation,Latency-induced steering oscillation (PIO),VSD 2025; Orosz IV 2024,mpsf
ok,0,2.543359,0.8669116553672317,0.7962915197740114,0.778653,8,17.722293,0.02155,1_pio_oscillation,Latency-induced steering oscillation (PIO),VSD 2025; Orosz IV 2024,qcbf
ok,1,-1.98313,0.0011649565217391306,0.050801804347826086,0.049093,7,72.664009,5.991945,2_delayed_hazard,Delayed braking / late hazard response,VSD 2025; 5G eval 2025,none
ok,0,-0.028116,0.1880524420289855,0.12960134782608695,2.071166,17,61.500229,5.515134,2_delayed_hazard,Delayed braking / late hazard response,VSD 2025; 5G eval 2025,dob_cbf
ok,0,1.468301,0.13739097101449274,0.08847822463768115,3.671303,5,70.454953,5.679617,2_delayed_hazard,Delayed braking / late hazard response,VSD 2025; 5G eval 2025,mpsf
ok,0,2.184058,0.8763606594202898,0.7278323333333334,0.795045,4,17.758546,-0.001222,2_delayed_hazard,Delayed braking / late hazard response,VSD 2025; 5G eval 2025,qcbf
ok,1,-2.052572,0.0,0.024688623188405794,0.046003,9,73.528792,5.940645,3_missed_obstacle,Missed obstacle (narrow FOV / low awareness),Bogdoll 2022; Orosz 2024,none
ok,0,3.111494,0.9896420579710146,0.7476372826086957,0.987261,34,14.779627,0.003575,3_missed_obstacle,Missed obstacle (narrow FOV / low awareness),Bogdoll 2022; Orosz 2024,dob_cbf
ok,0,1.54406,0.13817588405797102,0.0655346811594203,3.872866,5,71.939158,5.946052,3_missed_obstacle,Missed obstacle (narrow FOV / low awareness),Bogdoll 2022; Orosz 2024,mpsf
ok,0,2.228351,0.8898612681159419,0.7501664275362319,0.635389,4,15.605368,0.014701,3_missed_obstacle,Missed obstacle (narrow FOV / low awareness),Bogdoll 2022; Orosz 2024,qcbf
ok,1,-0.751389,0.005201434782608696,0.06998571014492755,0.595599,11,64.39561,5.652474,4_peripheral_hazard,Late-revealed peripheral hazard,Bogdoll 2022,none
ok,0,0.360494,0.0781834347826087,0.08869324637681161,1.425379,7,72.144385,5.478308,4_peripheral_hazard,Late-revealed peripheral hazard,Bogdoll 2022,dob_cbf
ok,0,1.38671,0.10408023913043478,0.08289446376811595,2.457983,7,71.275831,6.046152,4_peripheral_hazard,Late-revealed peripheral hazard,Bogdoll 2022,mpsf
ok,0,2.360421,0.8270219275362318,0.7320811086956521,0.658951,5,16.864307,0.003632,4_peripheral_hazard,Late-revealed peripheral hazard,Bogdoll 2022,qcbf
ok,1,0.237259,0.0,0.004347826086956522,24.78475,0,75.422082,9.059247,5_connection_freeze,Connection loss / frozen command,Brettin 2025,none
ok,0,1.21593,0.03722397826086956,0.043504123188405804,24.971715,2,78.625783,7.269719,5_connection_freeze,Connection loss / frozen command,Brettin 2025,dob_cbf
ok,0,1.406398,0.03497639130434782,0.010599282608695654,29.53363,2,91.67489,9.075738,5_connection_freeze,Connection loss / frozen command,Brettin 2025,mpsf
ok,0,2.799393,0.347546115942029,0.43136679710144926,1.329649,1,17.236974,-0.005173,5_connection_freeze,Connection loss / frozen command,Brettin 2025,qcbf
ok,1,-1.767195,0.0008218550724637683,0.012202326086956523,0.07242,11,95.169173,8.899831,6_overspeed,Overspeed for the latency/conditions (low grip),5G eval 2025; Orosz 2024,none
ok,0,1.681269,0.791805311594203,0.6934765,0.379998,22,22.140731,0.013277,6_overspeed,Overspeed for the latency/conditions (low grip),5G eval 2025; Orosz 2024,dob_cbf
ok,0,0.710338,0.2408248623188406,0.08133564492753624,5.625817,5,82.990052,8.878306,6_overspeed,Overspeed for the latency/conditions (low grip),5G eval 2025; Orosz 2024,mpsf
ok,1,0.214633,0.7730355724637682,0.6825001231884058,0.347625,5,23.649764,0.00027,6_overspeed,Overspeed for the latency/conditions (low grip),5G eval 2025; Orosz 2024,qcbf
ok,1,0.461107,0.002458554140127389,0.0410501847133758,0.05151,16,52.548231,4.621468,7_lead_brake_delay,Delayed reaction to lead-vehicle braking,VSD 2025; Orosz IV 2024,none
ok,0,5.23658,0.28483492356687895,1.0,0.014877,16,0.05189,0.006182,7_lead_brake_delay,Delayed reaction to lead-vehicle braking,VSD 2025; Orosz IV 2024,dob_cbf
