experiment,variant,controller_mode,mpc_model,nn_model,terrain,path,speed_mps,bumpiness,seed,run_dir,status,rc,wall_s,sim_s,rt_factor,diag_csv,collision_csv,shield_csv,n_samples,rms_cte_m,max_abs_cte_m,mean_abs_cte_m,mean_speed_mps,p95_speed_mps,speed_ratio,mean_solve_ms,p99_solve_ms,progress_m,final_x_m,final_y_m,collisions,collision_source,near_misses,min_clearance_m,intervention_rate_pct,filter_solve_ms,mean_abs_dsteer,mean_abs_dthrottle,notes,extra_sim_diag_csv,extra_launch_identity_match,extra_observed_path,extra_observed_speed_mps,extra_observed_sim_seed,extra_observed_ros_domain_id,extra_observed_sim_ports,extra_observed_ctrl_ports,extra_profile_estimator_diagnostics_applicable,extra_profile_estimator_diagnostics_complete,extra_profile_estimator_diagnostics_error,extra_profile_estimator_required_concurrent_windows,extra_profile_estimator_publication_ready,extra_profile_estimator_publication_applied,extra_profile_estimator_abstained,extra_profile_estimator_readiness_rows,extra_profile_estimator_update_rows,extra_profile_estimator_time_to_first_ready_s,extra_profile_estimator_time_to_first_update_s,extra_profile_estimator_max_concurrent_windows,extra_profile_estimator_lifetime_accepted_windows,extra_profile_estimator_lifetime_rejected_windows,extra_profile_estimator_profile_force_gain_final,extra_profile_estimator_profile_ax_bias_final_mps2,extra_profile_estimator_profile_ay_bias_final_mps2,extra_profile_estimator_profile_bound_hits_max,extra_profile_estimator_feature_envelope_excursions_max,extra_profile_estimator_readiness_consistent,extra_estimator_backend,extra_estimator_contract_version,extra_conditioning_role,extra_controller_prior_terrain,extra_reference_profile_sha256,extra_reference_policy,extra_truth_free_controller_packet,extra_controller_tire_force_truth_rows,extra_profile_estimator_snapshot_rows,extra_profile_estimator_unique_snapshot_count,extra_profile_estimator_ready_snapshot_count,extra_profile_estimator_applied_snapshot_count,extra_profile_estimator_final_snapshot_seq,extra_profile_estimator_fallback_rows,extra_profile_estimator_max_evidence_age_s,extra_profile_estimator_min_snapshot_confidence,extra_profile_estimator_max_boundary_mass,extra_profile_estimator_min_observability_singular_value,extra_profile_estimator_update_wall_ms_median,extra_profile_estimator_update_wall_ms_p95,extra_profile_estimator_update_wall_ms_max
tire_model_with_estimator_ablation,nn_static,standard,nn,tire_force_static,clay,sinusoidal,5.0,0,400,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0000_nn_static_clay_sinusoidal_v5_b0_s400,ok,0,24.19751238822937,20.0,1.0,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0000_nn_static_clay_sinusoidal_v5_b0_s400/20260827_230000_450551_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,1667,0.06901702053881346,0.211665,0.055084441,4.202496999999999,4.942025,0.8404993999999999,6.002327534493102,6.633399999999999,160.24582477232033,59.512228,-1.722069,0,chrono_body_contact,0,,,,,,,,True,sinusoidal,5.0,400,53,[25000],[25001],False,True,,12,False,False,False,0,0,,,0,0,0,,,,0,0,True,disabled,backend_compatibility,matched-terrain oracle-information baseline,matched_plant,f544d4c607d9f35cff9cbf38b8d140aa1d8904401cf08a56f3c5a58132af58c5,shared_worst_case_phi13_curvature_v1,True,0,,,,,,,,,,,,,
tire_model_with_estimator_ablation,nn_static,standard,nn,tire_force_static,clay,sinusoidal,5.0,0,403,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0003_nn_static_clay_sinusoidal_v5_b0_s403,ok,0,25.978763103485107,20.0,1.0,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0003_nn_static_clay_sinusoidal_v5_b0_s403/20260827_230026_210882_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,1228,0.08137690054873056,0.266758,0.0633241381294964,4.092810215827338,4.94275,0.8185620431654677,14.585765472312703,16.37,125.849453528287,56.835715,-1.955979,0,chrono_body_contact,0,,,,,,,,True,sinusoidal,5.0,403,59,[25006],[25007],False,True,,12,False,False,False,0,0,,,0,0,0,,,,0,0,True,disabled,backend_compatibility,matched-terrain oracle-information baseline,matched_plant,f544d4c607d9f35cff9cbf38b8d140aa1d8904401cf08a56f3c5a58132af58c5,shared_worst_case_phi13_curvature_v1,True,0,,,,,,,,,,,,,
tire_model_with_estimator_ablation,nn_static,standard,nn,tire_force_static,clay,sinusoidal,7.0,0,402,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0007_nn_static_clay_sinusoidal_v7_b0_s402,ok,0,26.17259669303894,20.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0007_nn_static_clay_sinusoidal_v7_b0_s402/20260827_230026_160678_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,1281,0.12260135310371321,0.37903,0.09178398654104979,4.400190309555855,5.1990799999999995,0.6285986156508364,14.013708040593285,15.268000000000002,131.64476153827303,62.380714,-1.244962,0,chrono_body_contact,0,,,,,,,,True,sinusoidal,7.0,402,67,[25014],[25015],False,True,,12,False,False,False,0,0,,,0,0,0,,,,0,0,True,disabled,backend_compatibility,matched-terrain oracle-information baseline,matched_plant,dc58ccfda201c75bc0d828da6f9710e91377898701de047f0e4ef191b0e89544,shared_worst_case_phi13_curvature_v1,True,0,,,,,,,,,,,,,
tire_model_with_estimator_ablation,nn_static,standard,nn,tire_force_static,clay,sinusoidal,5.0,0,401,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0001_nn_static_clay_sinusoidal_v5_b0_s401,ok,0,26.179370880126953,20.0,1.0,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0001_nn_static_clay_sinusoidal_v5_b0_s401/20260827_230026_199324_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,1245,0.09703898949171207,0.359075,0.07395005205479452,4.383516575342465,4.953715,0.8767033150684931,14.475068273092369,15.695599999999999,131.01231670418707,63.838728,-0.642065,0,chrono_body_contact,0,,,,,,,,True,sinusoidal,5.0,401,55,[25002],[25003],False,True,,12,False,False,False,0,0,,,0,0,0,,,,0,0,True,disabled,backend_compatibility,matched-terrain oracle-information baseline,matched_plant,f544d4c607d9f35cff9cbf38b8d140aa1d8904401cf08a56f3c5a58132af58c5,shared_worst_case_phi13_curvature_v1,True,0,,,,,,,,,,,,,
tire_model_with_estimator_ablation,nn_static,standard,nn,tire_force_static,clay,sinusoidal,7.0,0,400,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0005_nn_static_clay_sinusoidal_v7_b0_s400,ok,0,26.178826808929443,20.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0005_nn_static_clay_sinusoidal_v7_b0_s400/20260827_230026_254174_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,1282,0.09483868625921409,0.3022,0.07268475407608696,4.154174048913044,5.0451,0.5934534355590062,14.016521060842434,15.5919,131.51334205603106,58.189095,-1.965425,0,chrono_body_contact,0,,,,,,,,True,sinusoidal,7.0,400,63,[25010],[25011],False,True,,12,False,False,False,0,0,,,0,0,0,,,,0,0,True,disabled,backend_compatibility,matched-terrain oracle-information baseline,matched_plant,dc58ccfda201c75bc0d828da6f9710e91377898701de047f0e4ef191b0e89544,shared_worst_case_phi13_curvature_v1,True,0,,,,,,,,,,,,,
tire_model_with_estimator_ablation,nn_static,standard,nn,tire_force_static,clay,sinusoidal,5.0,0,402,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0002_nn_static_clay_sinusoidal_v5_b0_s402,ok,0,26.225252389907837,20.0,0.99,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0002_nn_static_clay_sinusoidal_v5_b0_s402/20260827_230026_219670_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,1260,0.0915610434114108,0.321886,0.07118833288409704,4.4367439353099725,4.9925,0.8873487870619945,14.311888888888891,15.398200000000003,130.88449606229568,66.224362,0.459471,0,chrono_body_contact,0,,,,,,,,True,sinusoidal,5.0,402,57,[25004],[25005],False,True,,12,False,False,False,0,0,,,0,0,0,,,,0,0,True,disabled,backend_compatibility,matched-terrain oracle-information baseline,matched_plant,f544d4c607d9f35cff9cbf38b8d140aa1d8904401cf08a56f3c5a58132af58c5,shared_worst_case_phi13_curvature_v1,True,0,,,,,,,,,,,,,
tire_model_with_estimator_ablation,nn_static,standard,nn,tire_force_static,clay,sinusoidal,7.0,0,403,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0008_nn_static_clay_sinusoidal_v7_b0_s403,ok,0,26.23738980293274,20.0,1.0,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0008_nn_static_clay_sinusoidal_v7_b0_s403/20260827_230026_172661_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,1256,0.11827999631036286,0.40136,0.08783833287671233,4.455550547945205,5.156479999999999,0.6365072211350293,14.337643312101912,15.716000000000003,131.11898217002442,63.587857,-0.864355,0,chrono_body_contact,0,,,,,,,,True,sinusoidal,7.0,403,69,[25016],[25017],False,True,,12,False,False,False,0,0,,,0,0,0,,,,0,0,True,disabled,backend_compatibility,matched-terrain oracle-information baseline,matched_plant,dc58ccfda201c75bc0d828da6f9710e91377898701de047f0e4ef191b0e89544,shared_worst_case_phi13_curvature_v1,True,0,,,,,,,,,,,,,
tire_model_with_estimator_ablation,nn_static,standard,nn,tire_force_static,clay,sinusoidal,7.0,0,401,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0006_nn_static_clay_sinusoidal_v7_b0_s401,ok,0,26.27486228942871,20.0,1.0,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0006_nn_static_clay_sinusoidal_v7_b0_s401/20260827_230026_413213_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,1256,0.10299202306877019,0.322783,0.07746443110504775,4.315914870395634,5.091,0.6165592671993763,14.33269904458599,15.857500000000005,129.47558156646676,60.871215,-1.672314,0,chrono_body_contact,0,,,,,,,,True,sinusoidal,7.0,401,65,[25012],[25013],False,True,,12,False,False,False,0,0,,,0,0,0,,,,0,0,True,disabled,backend_compatibility,matched-terrain oracle-information baseline,matched_plant,dc58ccfda201c75bc0d828da6f9710e91377898701de047f0e4ef191b0e89544,shared_worst_case_phi13_curvature_v1,True,0,,,,,,,,,,,,,
tire_model_with_estimator_ablation,nn_static,standard,nn,tire_force_static,clay,sinusoidal,5.0,0,404,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0004_nn_static_clay_sinusoidal_v5_b0_s404,ok,0,26.28063702583313,20.0,1.0,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0004_nn_static_clay_sinusoidal_v5_b0_s404/20260827_230026_185732_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,1274,0.08527925297904757,0.311764,0.06442245975443382,4.100758935879946,5.0132,0.8201517871759891,14.112794348508634,15.7808,132.07484263257106,57.568858,-1.934804,0,chrono_body_contact,0,,,,,,,,True,sinusoidal,5.0,404,61,[25008],[25009],False,True,,12,False,False,False,0,0,,,0,0,0,,,,0,0,True,disabled,backend_compatibility,matched-terrain oracle-information baseline,matched_plant,f544d4c607d9f35cff9cbf38b8d140aa1d8904401cf08a56f3c5a58132af58c5,shared_worst_case_phi13_curvature_v1,True,0,,,,,,,,,,,,,
tire_model_with_estimator_ablation,nn_static,standard,nn,tire_force_static,clay,sinusoidal,9.0,0,402,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0012_nn_static_clay_sinusoidal_v9_b0_s402,ok,0,25.92856502532959,20.0,1.0,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/tire_model_with_estimator_ablation_20260827_225959/raw/0012_nn_static_clay_sinusoidal_v9_b0_s402/20260827_230052_795826_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,1261,0.10369049094353772,0.355756,0.08020699585635359,4.309413259668508,5.14347,0.4788236955187231,14.231245043616179,15.744000000000014,131.33262912691094,60.397873,-1.802728,0,chrono_body_contact,0,,,,,,,,True,sinusoidal,9.0,402,77,[25024],[25025],False,True,,12,False,False,False,0,0,,,0,0,0,,,,0,0,True,disabled,backend_compatibility,matched-terrain oracle-information baseline,matched_plant,dc58ccfda201c75bc0d828da6f9710e91377898701de047f0e4ef191b0e89544,shared_worst_case_phi13_curvature_v1,True,0,,,,,,,,,,,,,
