slip_ratio,slip_angle,velocity,vertical_load,steering_rate,d_slip_ratio,d_slip_angle,d_velocity,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy,My,sinkage,kappa_cmd,alpha_cmd,velocity_cmd
-0.147703,0.010098,8.726826,5312.352426,-0.004689,0.076007,-0.000102,1.081795,2765084.569695,10937.246831,0.615345,11646.368127,0.536646,0.014505,0.114687,5339.765504,-1654.216255,-339.370555,568.504336,0.008588,-0.142447,0.036041,8.729199
0.603695,0.048608,9.444981,3358.284590,-0.059745,-0.297981,0.003353,-0.358343,706417.058392,11720.526850,0.576821,15580.305935,0.174707,0.020089,0.090374,3513.974759,478.815677,-652.919125,-469.469426,0.014091,0.594645,0.398853,9.461188
-0.520268,0.070908,6.042044,6710.919856,-0.284580,0.295079,-0.000903,0.294512,3106877.594292,10653.095165,0.387722,14951.516133,0.506210,0.023369,0.114230,6453.798272,-2294.016760,-444.576339,913.181535,0.003058,-0.527193,0.211827,6.125680
-0.052426,-0.059669,8.503158,5605.302931,-0.066615,-0.280940,0.000594,0.868159,2332614.166248,17967.126210,1.098356,19402.016746,0.621865,0.016891,0.107956,5567.866515,-1395.313676,2673.368945,58.805400,0.037097,-0.054064,-0.185095,8.523427
-0.312378,0.026182,5.912436,3427.200818,0.280210,-0.023729,-0.004332,0.096375,1180429.169062,6709.593556,0.907008,670.975070,0.135838,0.012186,0.116778,3371.911876,-391.578303,-67.518229,-124.024408,0.031120,-0.298906,0.090639,5.828802
0.492422,0.038704,2.504641,6735.569063,-0.276612,0.028871,0.008344,-0.665590,1498420.396610,2491.840242,0.716147,16205.597763,0.598620,0.024462,0.087290,6742.147179,2591.710453,-2929.204464,-1850.642231,0.047877,0.449044,0.293423,2.583606
-0.549355,-0.044596,5.451527,6674.799950,0.349784,-0.116512,1.662445,0.291265,2756799.971111,6229.160307,1.250977,2607.547981,0.460114,0.018484,0.115109,6559.578724,-3086.261101,369.410253,621.795972,0.074594,-0.539346,-0.147639,5.347817
0.663329,0.044796,8.323042,6936.056793,0.499528,0.499014,0.488960,1.144082,2421625.135929,13643.134365,1.135029,18551.143992,0.173405,0.015063,0.118741,7027.835182,1749.499509,-722.318772,-1580.853147,0.036326,0.698353,0.159896,8.175733
0.452163,0.031023,7.703407,7012.749013,0.518671,1.702711,-0.011899,1.275926,1165331.763028,3845.281774,0.667289,5275.043154,0.614785,0.010604,0.092869,7005.329234,3777.003521,-2347.414034,-2389.392439,0.029429,-0.564277,0.182022,7.551010
0.265006,-0.027986,4.396663,6211.318302,0.396497,-0.348572,-0.007544,1.423774,1715071.734435,5075.661177,0.969294,17153.422679,0.336852,0.017512,0.094651,6286.312016,1607.535894,1318.923649,-1547.911325,0.060240,0.305358,-0.137514,4.279468
-0.478686,-0.065255,8.945431,2631.834889,-0.107726,0.246343,-0.108151,1.177307,3370724.628875,8817.106401,0.514176,17313.533349,0.371603,0.024747,0.097957,2513.137499,-585.730085,141.118278,220.022803,0.001506,-0.480961,-0.230436,8.977608
0.522827,-0.044595,7.357821,3717.083283,-0.339078,-0.020959,-0.006210,0.176756,3150879.019098,15097.419586,0.412182,19586.872310,0.340342,0.022683,0.082657,3670.594255,762.913404,392.062327,-405.076040,0.000957,0.506404,-0.168993,7.458181
0.427168,-0.013446,3.254541,2595.704915,-0.352523,-0.179829,-0.012325,-0.818822,825203.835029,8466.628782,0.643375,17307.965216,0.364757,0.011735,0.086956,2609.317605,1245.459405,207.066246,-764.498718,0.020136,0.390535,-0.052441,3.359505
-0.018153,-0.135743,3.174671,5060.439321,-0.505046,0.500369,-0.547294,-1.306474,2768674.446156,3084.872962,0.756557,1334.389806,0.350445,0.011969,0.110806,4941.048124,-445.146836,1415.043963,-88.077015,0.022262,-0.078369,-0.394162,3.313250
0.008219,0.076415,8.999560,4880.290665,-0.496147,-0.243900,0.002276,-0.327598,740456.730319,12247.886219,0.504926,15731.390355,0.636856,0.018390,0.103841,4592.698951,-577.330098,-2508.490804,-95.814046,0.020845,-0.015094,0.369848,9.137982
-0.417870,-0.019923,6.747185,5950.036580,-0.532253,-0.146400,-0.014219,-0.978328,2226162.416698,4786.751792,0.635234,5567.612459,0.494204,0.013420,0.100676,5821.245189,-2788.269304,245.452043,986.895827,0.016041,-0.428210,-0.067504,6.905813
-0.642485,-0.048966,4.126577,7069.841138,0.014518,0.253397,1.997388,0.138656,1334143.860906,2254.511755,1.127866,18361.266274,0.623918,0.011537,0.110780,7018.047588,-6370.637068,637.562702,1977.804864,0.102885,-0.641355,-0.196624,4.122364
0.399696,0.050387,4.248846,2820.161479,0.047844,-0.278655,0.002099,0.729757,3123966.615082,8370.913904,0.796071,12655.933992,0.255672,0.015486,0.118137,2740.837028,515.774877,-609.465481,-384.622088,0.013591,0.402593,0.285205,4.235576
-0.096371,-0.025248,7.817710,5094.063086,0.229069,-0.085142,-0.000774,1.362277,2304645.458944,14562.331782,1.047726,1555.186045,0.433433,0.023482,0.116474,5269.432457,-843.471738,530.752743,-155.036162,0.035289,-0.083537,-0.078710,7.750015
-0.327729,0.049093,5.387557,4796.145601,0.500484,0.062738,-0.017977,-0.107470,2630785.544597,18101.659405,0.982881,1599.795809,0.457421,0.020635,0.105824,4895.053589,-1723.880984,-803.869012,369.333090,0.039065,-0.310284,0.289119,5.243375
0.629712,0.032251,5.903499,5896.710081,-0.280174,0.098892,-0.002441,0.938575,518813.537017,2132.137676,0.664548,6736.791977,0.598909,0.019686,0.102327,5635.401748,3182.278755,-1015.887131,-2062.578186,0.034845,0.614548,0.112902,5.987616
-0.110131,0.029313,9.063133,6895.632687,0.398547,0.121868,-0.007176,-0.395701,971576.502481,19573.894382,0.627417,20003.668254,0.296298,0.021209,0.083864,7595.894849,-1232.338766,-1446.343131,-158.454458,0.032556,-0.095472,0.201160,8.945685
-0.570397,-0.000468,8.235767,5187.172355,-0.270520,-0.179491,-0.272899,-0.481483,1345330.594483,18831.023127,0.566107,8096.994035,0.625786,0.022362,0.103720,5091.181518,-3125.438409,-4.157501,1178.722096,0.015501,-0.572060,-0.002170,8.316640
0.217307,0.016389,8.317614,5829.987248,-0.010883,-0.191552,0.000025,0.826637,2505492.308478,10292.766061,1.191061,16242.887424,0.369972,0.011775,0.080821,5892.494553,1699.489924,-906.100886,-1497.322220,0.042998,0.223642,0.081806,8.321617
0.142900,0.024925,4.918209,3646.442450,0.326562,-0.197246,0.318159,-0.780743,2972341.928811,19372.077863,0.927300,16786.958552,0.648662,0.020249,0.081339,3539.037703,775.934333,-1463.439729,-635.156112,0.021711,0.169718,0.192608,4.821308
-0.411302,0.014331,8.053221,2706.418862,0.358917,-0.094627,-0.305141,0.781019,1656904.746021,6340.990864,0.986532,17640.081264,0.199693,0.014130,0.118836,2728.424309,-1202.753813,-68.870492,343.394084,0.023002,-0.399835,0.047479,7.946216
0.771498,-0.134409,2.948112,5976.642151,-0.101466,0.063679,-0.002402,-1.047193,3191342.490673,1430.479281,0.881261,6522.263211,0.345692,0.018132,0.101356,5938.998594,1429.496223,1640.100785,-1077.906150,0.028413,0.717797,-0.395451,2.975278
-0.156245,-0.102932,6.767160,6076.849191,0.044490,0.277114,0.002481,0.674466,2099882.950496,5959.264045,0.976319,3243.140573,0.326543,0.020672,0.095219,5986.270832,-1037.497905,1145.029214,-168.669848,0.048137,-0.163046,-0.313701,6.755122
0.370156,-0.036087,9.064321,3560.222516,-0.047836,-0.043591,-0.000190,0.913029,3296561.908909,16765.877820,1.268666,15452.007781,0.327248,0.011575,0.093986,3560.726313,1262.404011,622.077350,-924.486421,0.024074,0.373701,-0.123873,9.079406
-0.791973,0.095777,4.100809,6026.243124,-0.287436,0.292666,-0.001398,0.426630,2215719.338601,946.503282,0.838027,7764.466650,0.302467,0.013994,0.117495,5840.909312,-2042.068925,-179.147947,453.899438,0.043037,-0.797511,0.298352,4.183423
0.744872,-0.000027,6.031541,4070.203610,0.055195,-0.268273,0.025816,-0.217346,1652655.970069,7208.421528,0.785648,12843.981736,0.471840,0.021121,0.081692,4149.923121,1977.086146,2.936623,-1292.629748,0.026386,0.760645,-0.000163,6.014767
-0.665834,0.060284,9.285817,6448.585177,0.373433,-0.359830,-0.005325,1.234477,3173908.182271,6562.798113,0.494283,18785.521056,0.462890,0.015077,0.099119,6394.988259,-3151.426448,-416.165819,1284.397838,0.007271,-0.663385,0.290319,9.179538
0.699388,-0.009993,6.275598,6279.925412,-0.373986,-0.177831,-0.007520,0.793079,2576688.126132,6763.979787,0.427770,9693.574086,0.150053,0.018890,0.101869,6342.175731,947.003035,76.034877,-585.715991,0.003207,0.679850,-0.033084,6.388468
-0.427762,-0.001067,8.555895,2614.440379,-0.179623,-0.216280,-0.180840,-0.251030,2813011.389023,4365.342211,0.606065,11402.985072,0.216173,0.011451,0.105581,2623.590349,-659.137388,1.922282,228.442413,0.003647,-0.427921,-0.003231,8.609644
-0.363583,-0.054330,9.024801,6132.354825,-0.170125,0.187769,1.775541,0.441952,3539097.750791,14601.072229,0.473439,16048.095100,0.596157,0.015650,0.092172,6193.050595,-2875.681357,897.434135,1192.562599,0.004102,-0.366014,-0.184528,9.075306
-0.286540,-0.051317,4.385317,5091.147550,0.501859,0.115236,-0.006633,-0.197139,990872.927753,11076.449905,0.477971,16963.894690,0.452910,0.014848,0.106028,4977.261235,-2052.729388,938.987599,618.869353,0.018968,-0.261046,-0.202795,4.237539
-0.362589,0.032804,2.631666,7136.731361,0.053685,0.196766,0.002130,0.157683,2263834.059471,13495.577267,0.498085,19660.295280,0.437466,0.015756,0.113354,6922.918752,-2798.907657,-748.715069,1067.187309,0.010095,-0.356165,0.160503,2.615877
0.651016,0.039958,6.524794,4907.053272,0.125218,-0.125548,-0.001232,-1.080279,2896042.433256,1629.668778,0.761122,15054.516697,0.275288,0.015476,0.117142,5391.030116,1534.740099,-696.667445,-1099.648480,0.017769,0.665252,0.171304,6.486998
0.705884,-0.034295,3.328678,3920.339682,-0.350109,-0.055229,0.925213,0.137407,2754080.833942,4037.759566,0.437815,2190.573776,0.443268,0.014330,0.111819,3951.238908,1404.518847,374.880950,-744.004707,0.001564,0.661805,-0.110219,3.433171
-0.553196,-0.021846,4.981166,2616.816717,0.091827,0.090979,0.822528,-1.452133,1912190.002872,5032.522602,0.802912,17341.287615,0.282777,0.014215,0.114402,2656.820295,-1164.581017,72.471098,365.844747,0.020158,-0.548246,-0.076945,4.952515
0.771155,0.071502,6.083577,4138.173554,-0.169652,0.277377,0.000631,0.975868,989972.386930,12033.485305,0.726691,17909.161146,0.627816,0.012400,0.114352,4394.860480,2656.726295,-2124.942276,-1613.285304,0.025677,0.749583,0.300629,6.132939
0.474782,0.001921,4.663850,4630.003489,-0.288704,-0.234546,-0.006296,-0.983681,3808930.659094,3765.801465,1.100655,8454.778207,0.347315,0.010119,0.085149,4497.090003,1754.723738,-59.943906,-1210.123102,0.033111,0.456918,0.007007,4.749509
