slip_ratio,slip_angle,velocity,vertical_load,steering_rate,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy
0.349077,-0.001173,5.718985,3770.510871,-0.001265,3029333.338767,16959.845961,1.208031,19641.797836,0.229572,0.022234,0.109963,4170.802560,1135.188160,5.373165
0.420446,0.135144,6.432541,3372.031068,0.183693,1343374.450002,15075.574806,0.433368,7704.576545,0.604992,0.018215,0.116304,3813.331476,1496.682625,-720.725523
-0.549837,-0.169209,8.732030,5308.992260,-0.272855,1796874.096923,3973.859198,0.938282,18777.272947,0.420141,0.021942,0.100904,5356.463689,-3009.813637,396.660638
0.287727,-0.453252,2.407443,6955.791267,-0.560000,3068666.545178,5888.751939,0.584629,6448.491490,0.627911,0.017113,0.100356,7266.800034,1545.056256,4180.700422
0.705270,-0.082974,7.653870,5142.463830,-0.115116,2608347.189006,10554.750847,1.292960,19610.850234,0.286607,0.016601,0.096461,7343.765462,2850.188287,596.431210
-0.488665,-0.493975,8.583734,3045.431936,-0.560000,1837811.508592,9520.297035,1.122671,14552.141450,0.565309,0.023377,0.110214,3169.407051,-1953.487103,856.178402
0.280796,-0.401388,6.733508,4592.128412,-0.560000,2584572.046214,1211.338574,0.446553,2905.484064,0.418009,0.011209,0.092009,4816.611122,631.753583,1598.265228
0.443394,0.389090,4.279225,3998.539860,0.489742,3564901.075110,7821.921293,0.853615,10481.901505,0.656574,0.018319,0.091804,4043.498312,1301.316684,-2356.805550
0.234068,-0.276286,9.794602,6242.126619,-0.251963,2402414.712223,4198.743465,0.869867,10759.623953,0.166302,0.022915,0.109935,5893.565124,440.040587,820.474583
-0.317198,-0.485422,2.370119,5741.447607,-0.560000,2652200.656425,15705.540520,0.436965,2862.884178,0.116714,0.016943,0.092813,5227.067021,-325.591384,336.707177
-0.759107,0.488879,4.605163,3130.266591,0.560000,1192374.653705,16506.927255,0.581045,5112.438652,0.641275,0.016508,0.087972,2734.226346,-1851.081010,-194.897176
-0.122176,0.190273,8.124180,3755.866649,0.287259,3427019.514735,12968.053909,0.850484,16896.951848,0.459561,0.015651,0.081718,3754.087924,-937.647092,-952.375425
-0.452504,0.233398,8.866808,6259.605590,0.196183,3441884.017231,16250.638526,0.703781,11883.854158,0.640609,0.018165,0.101088,6348.729542,-3998.636631,-1027.683750
0.002011,-0.011892,9.804470,3206.113255,-0.011661,2591081.388577,14588.137593,1.212064,6151.084194,0.146946,0.015519,0.091814,3023.652654,-64.166885,78.087526
0.762667,-0.345749,3.386684,5478.052701,-0.245564,1920161.223855,9889.230552,0.754506,5023.913885,0.447825,0.016322,0.114593,5547.957950,1879.100037,1699.191269
0.040352,-0.071757,9.992841,5239.044991,-0.063399,3907371.855250,3310.597836,0.535559,4359.539814,0.549210,0.014251,0.091115,5095.884828,334.495413,659.064808
-0.581985,0.482621,3.160447,4392.131617,0.560000,3291023.894629,6533.417683,1.034395,2387.363949,0.333624,0.022679,0.086023,4304.742102,-1375.262710,-307.585791
0.074553,-0.236348,2.266671,4880.461296,-0.203505,2703472.664683,19393.026354,1.012426,17529.295009,0.349393,0.016622,0.096595,4710.432592,353.944089,1729.191822
0.935993,-0.045726,8.735431,4583.313715,-0.034742,2292977.768517,19500.125640,0.378353,9735.079860,0.388207,0.013305,0.089003,5063.470465,1725.782023,162.949579
-0.752228,-0.140243,9.248398,7166.683090,-0.086449,3848355.869429,1255.560489,1.072858,9025.010245,0.185947,0.022754,0.117902,6689.310933,-1713.180558,75.997760
0.956240,0.246218,3.573543,4920.664654,0.212691,1301373.049001,13642.491790,0.706113,14684.393717,0.356970,0.017697,0.083411,4717.142831,1861.917537,-1010.200560
0.168347,0.271053,6.478908,7022.068628,0.186844,930580.469881,13873.129281,0.645974,3645.430389,0.597617,0.021602,0.097995,7134.671484,876.088034,-2886.565409
0.365822,-0.122430,7.255697,4703.794645,-0.075160,2819501.740832,10231.056668,1.022954,17811.314556,0.223459,0.012941,0.092274,4799.984723,1340.561746,654.953381
-0.598088,0.047512,2.299821,6935.926145,0.029938,3876834.431202,2467.665692,0.985374,14165.966569,0.129118,0.019596,0.108168,6989.321215,-1570.327643,-44.920269
0.573895,0.237894,9.988333,2692.375630,0.178164,3457284.242269,40.960347,1.248048,5513.148381,0.270855,0.023841,0.086780,2919.747737,510.492245,-370.157709
-0.696694,-0.499748,4.676670,3035.190962,-0.273817,1103304.173040,12931.053654,0.680603,2551.777682,0.110483,0.019314,0.109855,2738.126528,-328.446832,66.855667
0.684926,0.247751,9.611504,6007.842545,0.139252,3691513.960284,4576.367288,0.396913,3609.597456,0.510833,0.023503,0.091784,5617.343686,1758.168715,-1152.486502
-0.898478,0.250934,5.850168,6185.979191,0.162213,3370083.696665,7967.174546,0.675407,14205.926740,0.145543,0.011519,0.086095,5920.855553,-1371.594679,-32.054276
0.337769,0.240697,8.100852,6263.700311,0.124597,3331574.512706,5749.165109,1.055323,19681.556957,0.143248,0.014854,0.095273,6420.814295,969.515957,-1130.941320
-0.095447,0.299381,4.829400,6854.275381,0.176063,2720120.562968,19137.681136,0.365951,6734.029785,0.322253,0.014648,0.081678,7000.584128,-701.336801,-1223.514799
-0.389174,-0.559490,9.198854,6519.491438,-0.281567,3528222.390193,15138.698137,0.300304,19807.974138,0.309219,0.022105,0.092473,8292.275126,-1299.469521,891.613238
0.437732,-0.277709,9.380449,3075.009868,-0.352490,1555769.926657,10324.397194,0.680196,15049.065114,0.485197,0.022879,0.107286,3250.759788,997.345253,1021.505853
0.017607,0.296771,9.740657,6639.720375,0.559458,3611568.683341,15591.771279,0.827627,4178.130256,0.359680,0.017221,0.093638,9741.905366,-504.064658,-2483.262206
0.966085,-0.324451,7.549556,3306.937620,-0.241366,2382494.144938,2791.095174,0.360234,6764.211346,0.337562,0.017775,0.114971,2610.035333,691.829515,500.574585
-0.307651,0.191393,6.284925,7476.504059,0.278795,1827960.291681,7952.758214,0.884456,8291.450501,0.367971,0.022001,0.107703,6751.406934,-2140.148873,-744.431753
-0.513307,-0.046301,5.042574,6586.229137,-0.031002,1196526.929159,12422.419002,0.600799,14811.078534,0.260805,0.020284,0.118069,6384.870240,-2063.234293,86.977251
-0.503342,-0.510458,8.129075,3340.392965,-0.414766,749446.461970,17566.404450,0.580381,18450.154799,0.653822,0.014274,0.098882,3397.451847,-2560.042721,1108.027002
0.068081,-0.017489,8.408561,4421.736747,-0.013376,3667469.653782,10070.301900,0.495959,20526.120222,0.247915,0.024997,0.113169,4338.842769,160.262934,47.471881
-0.975566,-0.413061,9.288285,3093.075425,-0.410364,2685349.128984,4362.452328,0.468687,19648.574913,0.289684,0.019363,0.117103,3379.615581,-1042.127538,14.853473
